M	CHARACTER	DIALOGUE
M	eight millimeter	
M	written by	Andrew Kevin Walker first
M	CAB DRIVER	Where to?
F	WELLES	Follow that limousine. Don't get too close, don't let it get too far away. Just keep with it.
M	CAB DRIVER	You kidding?
F	WELLES	Nope.
M	CAB DRIVER	Uh, listen... you're not supposed to be smoking in here. I'm sorry, that's company policy...
F	WELLES	How about this... every cigarette I smoke, I give you five dollars?
M	CAB DRIVER	Okay... okay, yeah, that'd be good...
M	OLDER WOMAN	Thank you.
F	AMY	Welcome home.
F	WELLES	Do you know how much I missed you?
F	AMY	What's this... have you been smoking... ?
F	WELLES	Smoking? I'm not smoking.
F	AMY	Your clothing reeks of it.
F	WELLES	You know, Amy, I've been sitting around in bars and everywhere following this guy... I mean, is this what I get first thing? Before you even "hello," you accuse me... ?
F	AMY	I'm not accusing you...
F	WELLES	Well, I'm not smoking, okay?
F	AMY	Okay, I believe you.
F	WELLES	We've been all through that. I've been on my best behavior.
F	WELLES	Hello, pumpkin-head, did you miss me? I sure missed you...
F	WELLES	Let's get my bags and get the hell out of here.
F	AMY	How's the detective business?
F	WELLES	Business was fine. I'll tell you what, you couldn't pay me enough to live down there.
F	AMY	You better not be smoking, that's all I can say.
F	WELLES	Honey, I'm not, please...
F	AMY	I love you.
F	WELLES	I love you.
F	WELLES	What's all the trouble, Cinderella? What are you crying about, huh?
F	WELLES	Your son-in-law dealt with the dry cleaning franchise during the day, saw that woman every night. The specifics are in the report, and information about the woman. It's unpleasant, I know. I apologize...
M	POLITICIAN	None too discreet, is he?
F	WELLES	No, sir, he is not.
M	POLITICIAN	He's an imbecile. I tried to warn my daughter, but what can you do?
F	WELLES	The um... you'll find my invoice in the envelope. If that's all...
M	POLITICIAN	Yes, Mister Welles, thank you.
F	WELLES	Certainly, Senator. If I can ever be of further assistance.
F	AMY	You think you'll have time for the water heater this weekend?
F	WELLES	Sure. I'll call the guy.
F	AMY	You're not using the same guy who tried to fix it?
F	WELLES	I'm not using him again for anything. He was worthless. You have bridge here Saturday?
F	AMY	Betty's out of town so we're playing next week.
F	WELLES	Hello. Yes... could you hold on a minute...?
F	WELLES	Okay, I've got it. Hello... sorry, I was switching phones. It's a pleasure to make your acquaintance, Mrs. Christian. Yes. Yes, I understand... tomorrow evening should be fine...
M	MRS CHRISTIAN	Mister Welles. You're very prompt.
F	WELLES	I try to be.
M	MRS CHRISTIAN	I appreciate your coming on such short notice.
M	MRS CHRISTIAN	This is Mister Longdale, my late husband's attorney.
F	WELLES	Uh huh, pleasure.
M	MRS CHRISTIAN	Apparently Mr. Longdale has something he feels he simply must say before you and I speak.
M	LONGDALE	Yes, I do have something to say. I insisted on being here as soon as I heard Mrs. Christian contacted you.
F	WELLES	I'm listening.
M	LONGDALE	As Mr. Christian's attorney and one of the executors of his estate, it concerns me that a meeting of this sort should take place without my being asked to attend.
F	WELLES	Of what sort?
M	LONGDALE	You are a private investigator?
F	WELLES	That's right.
M	LONGDALE	Well, whatever reasons Mrs. Christian has for engaging the services of a private investigator, I should certainly be a party to. But, since she feels differently, I can only go on the record as having expressed my adamant disapproval.
M	MRS CHRISTIAN	Yes, how theatrical. So you've gone on the record, and now perhaps you should just be gone.
M	MRS CHRISTIAN	Have a pleasant evening. Will you have tea, Mister Welles?
F	WELLES	Thank you.
F	WELLES	He's odd.
M	MRS CHRISTIAN	He's a lawyer. Please, sit, here...
M	MRS CHRISTIAN	I've spoken to friends of mine and my husband's, in Harrisburg, in Lancaster and Hershey. Asking about you. I must say you have friends in influential places.
F	WELLES	I've been privileged to provide services for people I admire.
M	MRS CHRISTIAN	You are highly recommended. Praised for your discretion... your strict adherence to confidentiality.
M	MRS CHRISTIAN	As you know, my husband passed away recently. Two weeks ago now.
F	WELLES	My condolences.
M	MRS CHRISTIAN	His passing has left me with... something of a dilemma. A terrible, terrible dilemma.
F	WELLES	I'll do whatever I can to help.
M	MRS CHRISTIAN	His inner sanctum.
M	MRS CHRISTIAN	Not many people have been inside this room.
F	WELLES	Pittsburgh?
M	MRS CHRISTIAN	Mostly. That's where he started his empire building. He was a good man. Notorious as an eccentric, but that was something he cultivated. He wanted to be legendary.
F	WELLES	He succeeded.
M	MRS CHRISTIAN	We were married forty-five years. Hard even for me to imagine. We had our troubles. There were plenty of places for him to be other than here, but he was always loyal to me, and I to him. I loved him deeply.
M	MRS CHRISTIAN	Do you carry a gun, Mr. Welles?
F	WELLES	I wear a gun when I can tell a client expects me to. Other than that, there's never any reason.
M	MRS CHRISTIAN	Just curious.
M	MRS CHRISTIAN	My husband was the only one with the combination to this safe. I knew about it, but as far as I was concerned it was none of my business. Not till now, that is.
F	WELLES	You hired someone to open it. I'll bet the lawyer loved that.
M	MRS CHRISTIAN	There was nothing he could do. My husband left everything to me. I prevented anyone from seeing the contents. I felt these were my husband's private things. I didn't... I didn't realize...
F	WELLES	Do you want to tell me what you found?
M	MRS CHRISTIAN	Cash, stock certificates, and this...
M	MRS CHRISTIAN	It's a film... of a girl being murdered.
F	WELLES	I'm afraid I don't...
M	MRS CHRISTIAN	This is a movie showing a girl being murdered. She's sitting on a bed, and a man rapes her... and he begins to cut her with a knife... I only watched what I could.
