M	CHARACTER	DIALOGUE
M	DR. GREENBAUM	Jesus. We've been at this for six months.
M	SEBASTIAN	I know.
M	DR. GREENBAUM	And you haven't made an ounce of progress.
M	SEBASTIAN	I know.
M	DR. GREENBAUM	There's no smoking in my office.
M	SEBASTIAN	What do you want me to say? That I'm supposed to feel remorse because I act the way I do? The truth is I don't.
M	SEBASTIAN (cont'd)	Look, I'm not like all the other kids in high school. I don't care about book reports and extra-credit. Teachers are idiots anyway. The only challenge out there for me is women. You see a girl you like. You pursue them. You conquer. You move on. It's exciting.
M	DR. GREENBAUM	But you said you have the worst reputation.
M	SEBASTIAN	I do.
M	DR. GREENBAUM	Don't you want to change that?
M	SEBASTIAN	Let me tell you something, doctor. Chicks love a guy with a bad rap. They say they don't, but they don't mean it. They all think that they're the ones that are going to "save me." The trick is to let them think it's true.
M	DR. GREENBAUM	I think that's all the time we have for today.
M	SEBASTIAN	Same time next week?
M	DR. GREENBAUM	No. This is going to be our last session.
M	SEBASTIAN	Why? I like spending time with you. You know, you're quite attractive for a woman your age. You have killer legs. Killer.
M	DR. GREENBAUM	This isn't a joke. Your parents spend a lot of money to send you here. I'm trying to help you.
M	SEBASTIAN	Don't be insecure, Doc. You're a big help.
M	SEBASTIAN (cont'd)	He was a coke addict, you know.
M	DR. GREENBAUM	You think you can come in here with that cute little smirk on your face and try and flirt with me. It doesn't work, Sebastian.
M	SEBASTIAN	It works a little.
M	DR. GREENBAUM	No it doesn't. I see right through you.
M	SEBASTIAN	You do?
M	DR. GREENBAUM	I hope for your sake you grow out of this immature phase. It's going to get you into trouble.
M	SEBASTIAN	Well, you don't have to get nasty about it.
M	DR. GREENBAUM	My daughter, Rachel.
M	SEBASTIAN	Yummy.
M	DR. GREENBAUM	Don't even think about it. Rachel is an exceptionally well rounded young woman, who happens to be attending Princeton this fall. She's way too smart to fall for your line of b.s.
M	SEBASTIAN	Really? Care to make a wager on that?
M	DR. GREENBAUM	Good luck, Sebastian.
M	SEBASTIAN	What, nervous I'm going to win?
M	DR. GREENBAUM	Would you please leave. Asshole.
M	DR. GREENBAUM (cont'd)	Rachel, it's mom.
M	RACHEL	Hi, mom.
M	DR. GREENBAUM	Honey, is something wrong?
M	RACHEL	He told me he loved me and I believed him.
M	DR. GREENBAUM	Who told you?
M	RACHEL	You don't know him. I'm so stupid.
M	DR. GREENBAUM	Alright honey, just calm down, take a deep breath, and step out of the circle.
M	RACHEL	Would you cut the psycho babble bullshit, mom. There's pictures of me on the internet.
M	DR. GREENBAUM	What kind of pictures?
M	RACHEL	Nudie pictures, what do you think?
M	DR. GREENBAUM	Jesus Christ, how can you be so stupid?
M	RACHEL	I don't know. He was just so charming. All he did was talk about how I had killer legs and how we wanted to photograph them. Things just got out of hand from there. Mom? Are you there? Mom? Mother!!!!
M	DR. GREENBAUM	You son of a bitch.
M	DR. GREENBAUM (cont'd)	Fuck off, Harold.
M	METER MAID	You can't park there.
F	MRS. CALDWELL	I can't tell you how happy we are that Cecile is going to be attending Oakwood with you this fall. You've always been an inspiration to Beau and I on raising her. We just hope she can rise to the high standards which you've set for her.
F	KATHRYN	I'll do my best.
M	KATHRYN (cont'd)	Thank you, Sook-Hee. That will be all.
F	CECILE	What was that?
F	KATHRYN	I was thanking her. Vietnamese is such a beautiful language. Kathryn is a straight A student at Oakwood as well as being President of the French Club. Listen to whatever she has to say and you'll go far.
F	KATHRYN	You're too kind.
F	MRS. CALDWELL	How do you do it? I mean with all peer pressuring that goes on in high school. Where do you get your strength?
F	KATHRYN	I know this sounds corny, but whenever I feel temptations of peer pressure, I... turn to God and he helps me through the problem. Call me an anachronism, but it works.
F	MRS. CALDWELL	That's beautiful.
F	CECILE	What are the boys like?
F	MRS. CALDWELL	Cecile, is that the best you can do? You must forgive her, Kathryn. She's never been in a co-educational atmosphere before.
F	KATHRYN	Don't worry, it's totally understandable. Most of the boys that matriculate at Oakwood are very upstanding gentleman, however there are the occasional bad apples.
F	MRS. CALDWELL	Like your step-brother Sebastian. I can't believe they didn't expel him after what he did to the school nurse.
M	SEBASTIAN (O.S.)	I hear she's recovering quite well.
M	SEBASTIAN (cont'd)	Nice to see you again, Mrs. Caldwell.
F	MRS. CALDWELL	You remember my daughter, Cecile.
M	SEBASTIAN	My, what an adorable shirt you're wearing.
F	CECILE	My father just took me on a trip to Australia.
M	SEBASTIAN	How are things down under? Blossoming I hope.
F	KATHRYN	Cecile's attending Oakwood in the fall.
M	SEBASTIAN	Outstanding.
F	CECILE	What year are you in?
M	SEBASTIAN	I'm what you would call a fifth year senior.
F	CECILE	But I thought high school is only four years.
M	SEBASTIAN	It is, unless you're a fuck up, like myself.
F	MRS. CALDWELL	I think we'll be going now. Thanks for all your help.
F	KATHRYN	I'll call you later and we'll get together and plan your curriculum.
F	CECILE	Thanks. Nice meeting you.
M	SEBASTIAN	Ciao.
F	MRS. CALDWELL	Let's go, Cecile. Now!
M	SEBASTIAN	Do you care to tell me what Mrs. White-trash and her stupid daughter are doing in my house?
F	KATHRYN	I'm just taking the poor girl under my wing. The parental units called while you were out.
M	SEBASTIAN	Lovely. How is your gold digging whore of a mother enjoying Bali? Zipping through my inheritance per usual?
F	KATHRYN	Hopefully, though she suspects that your decrepit alcoholic father is diddling the maid. What's wrong with you today? Therapy not going well?
M	SEBASTIAN	It was fine.
M	SEBASTIAN (cont'd)	I'm sick of sleeping with these insipid Manhattan Debutantes.
M	SEBASTIAN (cont'd)	Nothing shocks them anymore.
M	SEBASTIAN (cont'd)	I'm beginning to feel like I'm losing my touch.
F	KATHRYN	Oh, poor baby. Well you can relax. I have a mission for you.
M	SEBASTIAN	What?
M	KATHRYN (V.O.)	You know Court Reynolds, son of Garret Reynolds? You mean the Nazi who dumped you over Fourth Of July Weekend?
F	KATHRYN	He didn't dump me. We had a parting of the ways. Alright he dumped me.
M	KATMRYN (V.O.)	I went to great lengths to please Court. Huge sacrifices were made on my part to keep him happy.
M	SEBASTIAN(V.O.)	Swallow? What do you think?
M	SEBASTIAN (V.O.)	Sorry.
F	KATHRYN	In any event, my feelings were hurt when I learned that he had fallen for someone else. Someone chaste... pure... innocent.
M	SEBASTIAN	You don't mean?
M	KATHRYN (V.O.)	None other than Cecile Caldwell.
F	KATHRYN	I don't find this very funny,
M	SEBASTIAN	So that's what this is all about. We'll get together and plan your curriculum.
F	KATHRYN	Keep your friends close and your enemies closer. When I get through with her, she'll be the premier Blow Job Queen of the Tri-State area and poor little Court's heart will be shattered.
M	SEBASTIAN	Why go through Cecile? Why not just attack Court?
F	KATHRYN	Because if there's an attack made on Court it could be traced back to me. I can't allow that to happen. Everybody loves me and I intend to keep it that way.
M	SEBASTIAN	I see your point... though why should I care?
F	KATHRYN	I need you to seduce our young Cecile. Introduce her to your world of decadence and debauchery.
M	SEBASTIAN	Sounds intriguing.
F	KATHRYN	She's quite cute you know. Young supple breasts, a tight firm ass and an uncharted pootie. Be her Captain Picard, Valmont. Boldly go where no man has gone before.
M	SEBASTIAN	I can't.
F	KATHRYN	Why not?
