M	CHARACTER	DIALOGUE
M	WILLIAM (V.O.)	Of course, I've seen her films and always thought she was, well, fabulous -- but, you know, million miles from the world I live in. Which is here -- Notting Hill -- not a bad place to be...
M	WILLIAM (V.O.)	There's the market on weekdays, selling every fruit and vegetable known to man...
M	WILLIAM (V.O.)	The tattoo parlour -- with a guy outside who got drunk and now can't remember why he chose 'I Love Ken'...
M	WILLIAM (V.O.)	The racial hair-dressers where everyone comes out looking like the Cookie Monster, whether they like it or not...
M	WILLIAM (V.O.)	Then suddenly it's the weekend, and from break of day, hundreds of stalls appears out of nowhere, filling Portobello Road right up to Notting Hill Gate...
M	WILLIAM (V.O.)	... and thousands of people buy millions of antiques, some genuine... ... and some not so genuine.
M	WILLIAM (V.O.)	And what's great is that lots of friends have ended up in this part of London -- that's Tony, architect turned chef, who recently invested all the money he ever earned in a new restaurant...
M	WILLIAM (V.O.)	So this is where I spend my days and years -- in this small village in the middle of a city -- in a house with a blue door that my wife and I bought together... before she left me for a man who looked like Harrison Ford, only even handsomer...
M	WILLIAM (V.O.)	... and where I now lead a strange half-life with a lodger called...
F	WILLIAM	Spike!
M	SPIKE	Even he. Hey, you couldn't help me with an incredibly important decision, could you?
F	WILLIAM	This is important in comparison to, let's say, whether they should cancel third world debt?
M	SPIKE	That's right -- I'm at last going out on a date with the great Janine and I just want to be sure I've picked the right t-shirt.
F	WILLIAM	What are the choices?
M	SPIKE	Well... wait for it... First there's this one...
F	WILLIAM	Yes -- might make it hard to strike a really romantic note.
M	SPIKE	Point taken.
M	SPIKE	I suspect you'll prefer the next one.
M	SPIKE	Cool, huh?
F	WILLIAM	Yes -- she might think you don't have true love on your mind.
M	SPIKE	Wouldn't want that... Okay -- just one more.
F	WILLIAM	Well, yes, that's perfect. Well done.
M	SPIKE	Thanks. Great. Wish me luck.
F	WILLIAM	Good luck.
M	WILLIAM (V.O.)	And so it was just another hopeless Wednesday, as I set off through the market to work, little suspecting that this was the day which would change my life forever. This is work, by the way, my little travel book shop...
M	WILLIAM (V.O.)	... which, well, sells travel books -- and, to be frank with you, doesn't always sell many of those.
F	WILLIAM	Classic. Absolutely classic. Profit from major sales push -- minus £347.
M	MARTIN	Shall I go get a cappuccino? Ease the pain.
F	WILLIAM	Yes, better get me a half. All I can afford.
M	MARIN	I get your logic. Demi-capu coming up.
F	WILLIAM	Can I help you?
F	ANNA	No, thanks. I'll just look around.
F	WILLIAM	Fine.
F	WILLIAM	That book's really not good -- just in case, you know, browsing turned to buying. You'd be wasting your money.
F	ANNA	Really?
F	WILLIAM	Yes. This one though is... very good.
F	WILLIAM	I think the man who wrote it has actually been to Turkey, which helps. There's also a very amusing incident with a kebab.
F	ANNA	Thanks. I'll think about it.
F	WILLIAM	If you could just give me a second.
F	WILLIAM	Excuse me.
M	THIEF	Yes.
F	WILLIAM	Bad news.
M	THIEF	What?
F	WILLIAM	We've got a security camera in this bit of the shop.
M	THIEF	So?
F	WILLIAM	So, I saw you put that book down your trousers.
M	THIEF	What book?
F	WILLIAM	The one down your trousers.
M	THIEF	I haven't got a book down my trousers.
