M	CHARACTER	DIALOGUE
M	DANNY	shit. bookshelf. The moans, meanwhile, approach thick goatee, and a well-crafted SWASTIKA on his left On top of Derek in the bed is his barely-of-age STACEY. The covers are completely off and a ROSE is tattooed across her right shoulder blade. watches her fuck, only for a second.
M	DANNY	grabs his little brother's arm.
M	DEREK	and onto her side.
F	STACEY	pervert, Dan!
M	DANNY	a black guy outside Der... into your car. puts on his skivvies. He reaches under his pulls out a SIG .45 semi-automatic pistol, and in a clip.
M	DEREK	long has he been out there?
M	DANNY	long.
M	DEREK	Relax.
F	STACEY	out there, Derek?
M	DEREK	right now, honey. many?
M	DANNY	think.
M	DEREK	he strapped?
M	DANNY	
M	DEREK	he have a fucking gun, Dan?
M	DANNY	not sure.
M	DEREK	there a driver?
M	DEREK	Stay the luck here.
F	STACEY	Be careful. the doorknob. Before he turns the knob, he peeks the eye hole on the door. two bullets in his chest.
M	DEREK	you! Derek buries a bullet into his shoulder. The splits and Derek fires a shot through the side He then walks towards the car and fires shot shot at it until it disappears. in Vietnam. They meet in the hallway, still not to place the direction of the gunfire.
F	DORIS	DOWN, HONEY! DANNY?! prey - crawling on the ground. Sirens sound from distance.
M	STACEY (O.S.)	down, Danny! Jesus! toward the man. the automatic doors and into the station. He a DESK SERGEANT. A daily calendar on her desk MONDAY. MARCH 3. 1997.
M	SWEENEY	Rasmussen?
M	DESK SERGEANT	room. Down that hall...third on the left. slicked-back hair, CAPTAIN JOHN RASMUSSEN finishes a He spots Sweeney as he enters and aimlessly for a file.
M		right. Moving on-- Morning, Doctor.
M	SWEENEY	morning.
M	RASMUSSEN	this is Dr. Bob Sweeney. Principal over at Venice High and some time now he's done a load of work with gangs...in and out the can.
M	RASMUSSEN	years ago a local kid named Vinyard gets sent up for a couple of Crips who were to jack his car. Bob taught back in high school and has the case closely.
M	YOUNG COP	was a skinhead, right?
M	SWEENEY	was more like...the skinhead. and Cameron Alexander. mug shot. He flips it over and reveals MUG SHOT. Front and side view.
M	RASMUSSEN	Alexander is probably the writer and distributor of power literature in LA County. promotes white power bands, writes columns, all at the ripe age forty.
M	YOUNG COP	forty? Jesus.
M	RASMUSSEN	clean record...runs everything of his house down by the beach.
M	SWEENEY	weren't any organized white around Venice before those two up. Very few, if any. It was just black and Mexican. But it tiny. They hit it off though... Alexander hit the jackpot with
M	RASMUSSEN	got some uncut footage here. of NBC. this evening...LA County Dennis Vinyard was shot killed while putting out a fire in suspected Compton drug den.
M	RASMUSSEN	being February of '90. to the reporter. Derek wears a Venice High jersey drenched in sweat. Towel around neck, thinks to himself as the man speaks into the camera.
