M	CHARACTER	DIALOGUE
M	HOTEL MANAGER O.S.	Hey, you! You gotta message.
M	WHITE	What?
M	MANAGER O.S.	Message in d'box! You deaf?
M	MANAGER O.S.	Got my money?
M	WHITE	What? I... How long have I been here?
M	MANAGER O.S.	Jeez, too damn long if you ask me! What about the two weeks y'owe me...
M	VOICE O.S.	What is your name... What is your name...
M	MANAGER O.S.	Hey! I'll be back later.
M	MANAGER O.S.	Yeah. Well, y'better be. Gesundheit! ...but you told me the meeting was ten-thirty.
M	BUMSTEAD	I know, sir, but I can't make it at nine-thirty... It's - um - well, inconvenient...
M	BUMSTEAD	Yes, sir... I understand... Yes... But, I've done fine so far without an assistant...
M	BUMSTEAD	But... But I... I... Nine-thirty. Yes.
M	VOICE O.S.	There you are.
M	MYSTERY MAN	You are lost, yes?
M	MYSTERY MAN	Co-operate. Do not make this difficult.
M	MYSTERY MAN	You will not shoot, yes. There is a place in your mind, a corner of darkness...
M	BUMSTEAD	Good evening, sir.
M	STROMBOLI	Yes. This way.
M	MORTICIAN	Welcome, gentlemen. Youíre early. Here for the examination, right?
M	STROMBOLI	The handiwork of an extremely sick individual.
M	STROMBOLI	Youíve read the reports. Not much to go on. We know nothing about him, except that he likes to cut them... Always the same type of blade. Forensics match in each case... Anyway, it's all in the reports, read them for yourself.
M	STROMBOLI	Why are you wearing that thing on your face?
M	BUMSTEAD	Germs, sir. These places are full of them.
M	STROMBOLI	I see. One thingís for sure, heís ambitious. Youíll be a busy man from now on.
M	MORTICIAN	You can say that again.
M	BUMSTEAD	What about Thompson, sir? Wasnít this his case?
M	STROMBOLI	Thompson suffered a kind of severe delusion or some damn thing. Anyway he isnít with us any longer. The case is yours. Go through his files. Take what you need. By the way, howís your mother?
M	BUMSTEAD	Sheís getting better, thanks. She... Very good...
M	STROMBOLI	Letís go, Bumstead. So much to do and so little time.
M	FIGURE 1	We are looking for Jonathan White.
M	MANAGER	What for?
M	MAN 1	Which room is he in?
M	WHITE (nods)	The noodles. Iíll have some noodles.
F	WOMAN	We call.
M	BUMSTEAD	A real shame... YAAAAAAAAAH!
M	MAN 1	Donít fall asleep. Might never wake, yes. Fifty-six.
M	VOICE	Fifty-six... Fifty-six... Where have you been? The doctorís been worried about you.
M	WHITE	What? Who are you?
M	FREDRICK	Címon, letís go! We donít have any time.
M	WHITE	Hold it a minute. Letís start at the beginning, huh?
M	FRERICK	Shit! Quick! Run!
M	WHITE	Shit.
M	COP	We got another one upstairs Great.
M	BUMSTEAD	Dammit!
M	MISS CRENSHAW	Sorry, sir.
M	BUMSTEAD	Donít ever sneak up on me like that! Who are you?
M	MISS CRENSHAW	Patricia Crenshaw.
M	MISS CRENSHAW	Iím your new assistant.
M	BUMSTEAD	I didnít requisition a secretary.
M	MISS CRENSHAW	The Chief-Inspector thought you might need a hand. Oh.
M	MISS CRENSHAW	Iíve taken the liberty and had Inspector Thompsonís office searched, as I believe you instructed. All clear now, sir. They found several more traps and things were filed under pretty strange categories... Poor man.
M	BUMSTEAD	Good.
M	MISS CRENSHAW	You wonít regret this, sir.
M	BUMSTEAD	Fine.
M	WHITE	Keep newspapers here, birth certificates, records of deaths, that kind of thing?
M	LIBRARIAN	Which would you like first?
M	WHITE	Okay. Newspapers.
M	LIBRARIAN	Are you alright? Sure. Iím fine. Mmm-hmm. Stairs at the end of the hall. Third floor. Turn left. Section C-7. Row 35, near the toilets.
M	LIBRARIAN	Donít mention it...
M	WHITE	Iím trying to reach nine zero eight triple two. I canít get through... What?!... Shit!
M	WHITE	It is?... Which area is that number listed in?... Is that near the ocean?... The ocean... Never mind. Have a Jonathan White listed?... WHITE. Seventeen? All Johns? I see... Never mind.
M	CRENSHAW O.S.	Coffee?
M	BUMSTEAD	What? I donít drink coffee. A cup of tea would be good. Milk and no sugar.
M	CRENSHAW	Making progress?
M	BUMSTEAD	These are the investigations of a madman. He has fabricated an entire bizarre paranoid delusion with no internal logic whatever. This is a mess. A horrible mess. Itís the second time now.
M	BUMSTEAD	Look at this!
M	BUMSTEAD	You typed this report?
M	MISS CRENSHAW	Yes, sir. Anything wrong?
M	BUMSTEAD	Wrong? Look at this!
M	MISS CRENSHAW	It seems fine.
M	BUMSTEAD	Fine? Look here!
M	BUMSTEAD	How can I submit this?
M	MISS CRENSHAW	Iím sorry...
M	BUMSTEAD	Do you wash your hands before you type things?
M	MISS CRENSHAW	Why, yes.
M	BUMSTEAD	Well be more careful, please.
M	CRENSHAW	Inspector Bumsteadís office... Yes... Yes...
M	MISS CRENSHAW	Yes, sir. The Chief-Inspector said he would see you now.
M	STROMBOLI O.S.	Enter!
M	STROMBOLI	What is it?
M	BUMSTEAD	A formality. I need to speak with Thompson. Officially I need your written permission.
M	STROMBOLI	Why do you want to speak to him?
M	BUMSTEAD	A hunch. He might be able to... Bumstead, donít be so paranoid. Leave him alone - heís a sad case.
M	BUMSTEAD	Itís extremely important to my investigation...
M	STROMBOLI	Iíll be the judge of that. Anything else?
M	BUMSTEAD	Actually, I was wondering, sir, if you could let me have a few uniforms, to follow up for me... Absolutely not. Up to my ears in cases right now - canít spare anyone.
M	BUMSTEAD	Lost something?
M	STROMBOLI	What makes you think that! If you would learn to concentrate on facts, not get so side-tracked - you might get things done faster, Bumstead...
M	WHITE	I need something to keep me awake.
M	BARBER	Looks like you need a haircut to me.
M	WHITE	Thanks. Just some pills.
M	BARBER	Only two bucks. Shave as well... Your sign says you sell drugs - well, Iím here to buy some. Okay?
M	BARBER	Relax. Sure!
M	BARBER	Tell you what - let me cut yer hair, give ya watcha need half price. Canít argue at that! I donít want a haircut.
M	BARBER (talks fast)	Cut hair when I was in the navy, yíknow - havenít lost the touch. Bet youíre happy ëbout that. Huh!
M	WHITE	Sell maps?
M	BARBER	What of? The city. I need to get to the ocean.
M	BARBER	Nope. No maps. Ocean, huh? On vacation?
M	BARBER	Grandpa thought customers might like some mood music. Nice...
M	BARBER	You still look familiar. Itís driving me nuts! Sure I donít know ya from somewhere? Not me.
M	BARBER	Mnunn. Cold lately. That night, couple weeks ago. That was real cold. Remember that?
M	WHITE	Not really...
M	BARBER	Yeah, Iím like that. Senility says the wife. But she sure canít complain. Heh. The erector set still works good. And this ainít no fucking rug! Gíhead. Feel it! All mine!
M	GRANDPA	Yes! Feeeeel it! THINK I MADE STUPID MISTAKE. HOPE THINGS DONíT GET BACK TO YOU. SORRY. - FREDRICK.
M	PRIEST	Beware! The night is deadly. There is a criminal among us.
M	PRIEST	It could be she! The innocent across the street!
M	PRIEST	Or the temptress next door!
M	PRIEST	Or mister nervy stranger at the back!
M	PRIEST	You are thinking it could be anyone? And youíre right! Why, it could even be Mother!
M	PRIEST (continues sermon)	Evil stalks our streets. It seeks to hide in our hearts. Have you not evil within you now?
M	GAUNT WOMAN	He took my little boy! Iíll rip out his eyes!
M	OLDER PRIEST	You have sinned?
M	WHITE	NO. Ah...
M	PRIEST	I am listening. Thereís a... woman. I don't know but I think I, ahh...
M	PRIEST	You fornicated?
M	WHITE	No. I, ah...
M	PRIEST	You seem restless.
M	WHITE	Someoneís after me.
M	PRIEST	Then we must call the police.
M	WHITE	No. I mean... that isnít necessary.
M	PRIEST	I see. Then who is after you? What sins have you committed?
M	WHITE	Just let me sit here for a moment? Iíll go soon, and stop bothering you.
M	PRIEST	Youíre the murderer? Yes! That must be it! Donít kill me!
M	WHITE	Shut up! Listen. Walk out quietly. Understand?
M	PRIEST	Donít kill me!
M	WHITE	Shut up!
M	PRIEST	Please...
M	WHITE (not so quietly)	Iím not going to kill you, okay! CRIMINAL! Itís him! Rip out his eyes! What do you want? Tell me! Do not make us hurt you...
M	MYSTERY MAN	It will be inconvenient, yes...
M	BUMSTEAD	How long have you been here?
M	COP	Maybe ten minutes... Thatís strange.
M	BUMSTEAD	Spinning backwards?
M	COP	Yours too?
M	BUMSTEAD	I want prints over here...
M	WHITE	I want to see the doctor. It's important.
M	NURSE	What time was your appointment? Look! Tell him I'm here. Now.
M	NURSE (scared/standing)	Yes, certainly... Who should I say?
M	WHITE	No idea. Just get him...
M	MAN 1	It has failed.
M	MAN 2	This is becoming dangerous, yes!
M	MAN 3	Let's get this over with.
M	MAN 5	What about the dance-steps! This is my responsibility, we must resolve this issue, yes?
M	MAN 5	Sorry.
M	MAN 3	The situation has changed. This one is in possession of knowledge... ...to avoid influence, yes.
M	MAN 4	A freak!
M	MAN 1	Impossible!
M	MAN 3	It gets interesting, yes.
M	MAN 2	Stop this! It has gone too far! Tell Mister Black!
M	SCHREBER	You remember nothing? Who you are? What you've done?
M	WHITE	You know something about me?
M	SCHREBER	Ah, that would be cheating, wouldn't it? Is there nothing you remember? Not even a detail? You must try.
M	WHITE	You think I haven't been trying! It's like there was never anything there. Just water.
M	SCHREBER	Water?
M	WHITE	Waves... A beach. A woman whispering. That's all. I need to stay awake. Do you have any pills?
M	SCHREBER	What does she say? The woman.
M	WHITE	Asks my name. Over and over. Just like a broken record. Only thing is, I can't answer. I've no idea what my name is.
M	SCHREBER	Your name is John White.
M	WHITE	That's what people keep telling me.
M	SCHREBER (indicates pills)	And what's this about? Why?
M	SCHREBER	Bad dreams?
M	WHITE	Yes.
M	SCHREBER	Tell me about them...
M	WHITE (interrupts)	Yeah well, why don't I ask some questions for a change.
M	SCHREBER	If you like.
M	WHITE	You're supposed to be my doctor, right?
M	SCHREBER	That's right. I am your doctor.
M	WHITE	Known me for long?
M	SCHREBER	Well... Am I a killer?
M	SCHREBER	I cannot say... You don't know the answer to that?
M	WHITE	I told you, I can't remember a thing! Look, you know something about me, out with it! Let's end this bullshit! I want answers!
M	SCHREBER	We won't get anywhere like this. Please. Let's take things in easy steps...
M	SCHREBER	Put simply... a penetration of the left parieto-occipital area of the cranium... complicated by inflammation that resulted in adhesions of the brain to the meninges. Without going into detail... the formation of scar tissue altered the configuration of the lateral ventricles, producing incipient atrophy of the medulla... Look. It was a simple question. Can someone kill and not remember it? I'm sorry. I get carried away sometimes. Possible? I'm... ah, afraid so.
M	WHITE	Did she drown? The woman you told me about?
M	SCHREBER	Not exactly. She was found in a canal, disembowelled. Throat cut. Blood drained. The body wrapped in a bed-sheet.
M	WHITE	Horrible...
M	SCHREBER	You remember nothing, eh? Let me show you something.
M	SCHREBER	Formation of memories is the most important of brain functions.
M	SCHREBER	We are little more than a sum of memories. From them we reference who we are, where we're going. Without a past we are nothing. This is why you are so interesting.
M	WHITE	I'm nothing then.
M	SCHREBER	Anything but, my friend.
M	SCHREBER	It feels no pain.
M	WHITE	Can I get my life back?
M	SCHREBER	Maybe.
M	SCHREBER	We know of two kinds of memory. Firstly, declarative memory.
M	SCHREBER	And then there is procedural memory.
M	SCHREBER	Follow?
M	SCHREBER	Research on simple animals can be... useful. To show us where memory storing systems are located, for example. I am building an experiment with hamsters next. Cute little things.
M	SCHREBER	Listen to me talk! You must be hungry.
M	SCHREBER	Whole damn wing lost power. Wiring's old. Keep meaning to get it fixed. Here we are.
M	SCHREBER	Ah. Beautiful! Head and all! Just how I like 'em!
M	WHITE	I'm sorry. About before.
M	SCHREBER	I don't blame you for getting angry. You are in a frustrating situation. You must be patient though. Trust me completely. I'm here to help. I have to talk to you.
M	SCHREBER	It can't wait?
M	SCHREBER (to White)	Excuse me. Ah, make yourself at home.
M	WHITE	Still kicking, huh?
M	SCHREBER O.S.	How are things in here?
M	SCHREBER	Ah, nearly done. So tell me about your dreams. I'm very interested.
M	WHITE	Just the typical fabrications of a distorted mind. You know, chased by mysterious men in black, that kind of thing...
M	SCHREBER	Ah, our friends in black... they are not just a figment of your imagination you know, in fact none of what you are experiencing is anything but real.
M	SCHREBER	I know everything about you. You have no choice but to trust me.
M	SCHREBER	Scarey, isn't it?
M	SCHREBER	Are you feeling alright?
M	SCHREBER	What are you doing?
M	WHITE	I have to go...
M	SCHREBER	You can't go yet. We've got so much to talk about...
M	SCHREBER	You're tired. You need to lie down.
M	WHITE	Those pills... Yes. A little something to help you relax. Harmless...
M	FOETUS 1	This is madness. If we're caught...
M	FOETUS 2	Shut-up. Help me with these straps...
M	SCHREBER (holds syringe up)	Now you must relax, Anton.
M	SCHREBER	Leave it!
M	SCHREBER	Damn! Whoever it is - get rid of them!
M	NURSE	Keys.
M	SCHREBER	I'm sorry I had to put you through this, Anton. There will be some pain, but things will be easier this way.
M	BUMSTEAD	Hold it!
M	BUMSTEAD	Police. Nobody move.
M	SCHREBER	He tried to kill me!
M	BUMSTEAD	Shut up! Everybody stay calm... You Schreber?
M	BUMSTEAD	What's that? A fish, huh?
M	BUMSTEAD	Dammit! I'm curious? How many so far?
M	WHITE (confused)	What? I... Let's see, there's the little guy with no arms or legs. And the young boy? Young boy?
M	BUMSTEAD	The six year old. Sure, you remember. Y'know, the kid you left in the meat packing plant, cut into pieces. Packed into brown paper parcels, wrapped in twine, that kind of thing.
