M	CHARACTER	DIALOGUE
M	"One doesn't discover new lands	without consenting to lose sight of the shore for a very long time."
F	TRUMAN	Shit!
M	FATHER	Truman! Truman! Stop!
M	FATHER	Come down now!
M	FATHER	No!
F	TRUMAN	Why? What's there?
M	FATHER	Nothing's there. It's the same as this. Come down, please!
M	FATHER	I told you to stay close. Don't ever leave my sight again. You gotta know your limitations. You could've been washed away by the tide.
F	TRUMAN	Gimme a copy of "The Sydney Morning Herald".
M	VENDOR	We ran out.
F	TRUMAN	Thanks anyway.
M	DOUGLAS	I wanna be a chiropractor like my dad.
M	SISTER	Tell the class what a chiropractor does, Douglas.
M	DOUGLAS	He helps people by fixing their backs, Sister Olivia.
M	SISTER	That's right, Douglas. Perhaps I'll be your first patient.
M	SISTER	What about you, Truman?
F	TRUMAN	I want to be an explorer ...like Magellan.
M	SISTER	No one's going to pay you to do that, Truman. Besides, you're too late. There's nothing left to explore.
F	TRUMAN	...okay, okay, let's call it what it is... I'm not gonna lie to you...life insurance is death insurance...you just gotta ask yourself two questions...one, in the event of your death, will anyone experience financial loss?...and two, do you care?
F	TRUMAN	Hold on will ya? This's no good. Lumps all drownings together. I need drownings broken down by category.
F	TRUMAN	...just think about what I've been saying and lemme...hello?...
F	TRUMAN	Can you connect me with directory inquiries in Sydney, Australia? ...er, yes. Do you have a listing for a Lauren Powers... ...nothing listed?...what about a Sylvia Powers...nothing? Thanks...
M	TYRONE	How's it goin', Truman?
F	TRUMAN	Not bad. I just won the State Lottery.
M	TYRONE	Good. Good.
F	TRUMAN	Tyrone, what if I said I didn't want meatball today?
M	TYRONE	I'd ask for identification.
M	FEMALE CASHIER	He's right there. You're supposed to pay when he's here.
M	MALE CUSTOMER	He never notices.
M	TYRONE	Hold on, Truman. I got somethin' to show ya.
M	TYRONE	The flagship of Christoforo...our Genoese navigator, huh? I know you love this like me.
F	TRUMAN	Not me. You got the wrong man.
M	TYRONE	See ya tomorrow, Truman.
M	CHRISTOF	You ever pass a car wreck on the side of the road? They're pulling out a body. You know you shouldn't look, but you do.
M	MAN	Hello?...I'm sorry, I got more than enough insurance.
F	TRUMAN	...this isn't about insurance, this is about the great variable - when will death occur? Could be a week, a month, a year. Could happen today...A sunbather, minding his own business, gets stabbed in the heart by the tip of a runaway beach umbrella...No way you can guard against that kinda thing, no way at all...
M	LAWRENCE	Hey, Burbank, I got a bridge-buyer in Stapleton I need you to cloes by four.
F	TRUMAN	Stapleton on Staten Island?
M	LAWRENCE	You know another one?
F	TRUMAN	I can't do it.
M	LAWRENCE	A half hour across the bay. Sea air. Do you good.
F	TRUMAN	No, I... ...I got an appointment uptown.
M	LAWRENCE	This is a sure thing. They're upping our quota. You need this.
F	TRUMAN	Let's go further, daddy! Let's go further!
M	FATHER	It's getting late, Truman.
F	TRUMAN	Please!...
M	COMMUTER 1	I can't believe he's taking the long way.
M	COMMUTER 2	He'll never make it.
F	TRUMAN	I'm here to see a Mr Hamilton.
M	CONCIERGE	You from the insurance company? You missed him.
F	TRUMAN	When will he be back?
M	CONCIERGE	Vacation. Two months. He waited as long as he could. You was supposed to be here by four.
M	YOUTH 1	You wanna read to me?
M	YOUTH 1	You wannna read to me?
M	YOUTH 2	My friend asked you a question.
M	WOMAN	Please...
M	YOUTH 2	Now you're gonna have to ask me how it ends.
M	YOUTH 1	We're gonna tell you how it ends, baby. Don't you wanna know how it ends?
M	WOMAN	Help!! Please, help!!
M	WOMAN	Thanks.
M	WOMAN	He did nothing.
M	YOUTH 1	Physical violence paralyzes him. Always has.
F	MERYL	I got it free with the tune-up.
F	MERYL	You missed a section.
F	TRUMAN	Do they hurt?
F	MERYL	I was afraid I'd seize up during cross. One of the keys kept sticking.
F	TRUMAN	Is he gonna take the stand?
F	MERYL	No point. Two eye witnesses saw him near the dumpster where they found the legs.
F	MERYL	You gonna eat before you leave?
F	TRUMAN	I'll get something out.
F	MERYL	Did something happen today?
F	TRUMAN	What could happen?
F	MARLON	Ouch. Whose nuts were those?
F	TRUMAN	Mine.
F	TRUMAN	I gotta get out, Marlon.
F	MARLON	Yeah? Outta what?
F	TRUMAN	Outta my job, outta Queens...out!
F	MARLON	Outta your job? What the hell's wrong with your job? You gotta great job. You gotta desk job. I'd kill for a desk job.
F	MARLON	Sonofabitch.
F	TRUMAN	It doesn't mean anything.
F	MARLON	Nothing means anything. Try stocking vending machines for a living. My biggest decision of the day is whether the Almond Joys look better next to the Snickers or the Baby Ruths.
F	TRUMAN	I gotta get out.
F	MARLON	Sure and go where?
F	TRUMAN	Australia.
F	MARLON	No shit. Where is Australia exactly? Near England?
F	TRUMAN	See here, this is Queens. All the way round here, Australia. You can't get any further away before you start coming back. Y'know, there're still places in Australia where no human being has ever set foot.
F	MARLON	So when are you leaving?
F	TRUMAN	It's not that simple. Takes money, planning. You can't just up and go. Oh, I'm gonna do it, don't worry about that. I just gotta move slow. Pick a moment. Bonus time's just around the corner. Soon as I get a retaining wall built on the back of the house I can start thinking about selling up...and I'll be gone. Up and away on that big steel bird. I'm going, don't you worry about that.
F	MARLON	I never knew anybody who got out.
F	TRUMAN	Tick-fucking-tock. That's the fucking problem, Marlon. I'm thirty-four. I'm older than Jesus Christ.
F	TRUMAN	Where do the dreams go, Marlon?
F	MARLON	You win.
F	TRUMAN	I'm serious. Where do the dreams go?
F	MARLON	They're still there. Just buried under what we settled for.
F	TRUMAN	You really think it could've dropped off an airliner?
F	MARLON	Sure. It's halogen. You oughta report it. You coming for a drink?
F	TRUMAN	I can't tonight.
F	TRUMAN	I'm sorry! I'm sorry!
F	MERYL	What are you doing? Come to bed.
F	TRUMAN	I figure we could scrape together eight thousand.
F	MERYL	Oh. God, everytime you and Marlon--
F	TRUMAN	--We could bum around the world for a year on that.
F	MERYL	And then what, Truman? We'd be back to where we were five years ago. You're talking like a teenager.
F	TRUMAN	Maybe I feel like a teenager.
F	TRUMAN	Meryl, it'd be an adventure.
F	MERYL	We said we'd try for a baby. Isn't that enough of an adventure?
F	TRUMAN	That can wait. I want to get away. See some of the world. Explore.
F	MERYL	You want to be an explorer? You mean like all the other great explorers from Queens? You don't even have a passport, Truman. I bet you don't even know how to get one.
F	MERYL	This'll pass. Everybody thinks like this now and then. Come to bed.
M	GUARD 1	How can they have a child?
M	GUARD 2	It's not gonna be his, you idiot.
M	GUARD 1	Why not?
M	GUARD 2	You think she'd go through with it? Guess I always thought they'd adopt.
F	TRUMAN	Daddy!!...Daddy!!...
M	OLD WOMAN 1	It left him with more than his obvious fear of the water. It's as if he felt his father had gone beyond his limitations and he vowed never to repeat the mistake. He was never the same curious little boy again.
M	OLD WOMAN 2	We're all born with a pound of cocaine up our nose. By the time we're eleven it runs out.
M	OLD WOMAN 1	Half the people I knew named their babies after him.
F	TRUMAN	Daddy...
F	TRUMAN	Hey, stop! Stop!!
M	ATTENDANT	Hey!
F	TRUMAN	Two, four, oh, six.
F	TRUMAN	Outta the way! Outta the way!
M	ATTENDANT	What the fuck are you trying to pull?!
F	TRUMAN	I'm sorry! I'm sorry! No harm done! No harm done!
M	ATTENDANT	I oughta fuck you up!
M	ATTENDANT	Get the fuck outta here.
F	MARLON	What're you doing? The man told you there's no such bus.
F	TRUMAN	He's lying. Two, four, oh, six was definitely the number.
F	TRUMAN	I never believed he was dead.
F	MARLON	C'mon, Truman, a lotta times they don't find a body. You know what the currents are like in that water.
F	TRUMAN	You had to see his face when that wave hit. He wasn't scared Marion. It was like he was expecting it, waiting for it. He knew it was coming.
F	MARLON	Why would he fake it? He's not Elvis Presley.
F	TRUMAN	You know what was really strange about today? An old woman with a little dog and a businessman, walking in opposite directions on the sidewalk, both react like clockwork. They force him onto a bus against his will, a bus that doesn't normally stop outside my building. And when I'm giving chase, the bus never makes another stop and I get the feeling that the traffic and the pedestrians are working together to make sure I never catch up with it.
F	MARLON	Oh, so now it's also the pedestrians and the buses and the cars? What are you saying, the entire population of Lower Manhattan is conspiring to stop you finding out that your father staged his death to pursue a life as a street person? Oh yeah, that makes sense.
F	TRUMAN	You think I imagined it, don't you?
F	MARLON	I think you're missing your dad. The anniversary was yesterday, wasn't it?
F	MARLON	You got sand in your cuffs.
F	TRUMAN	Maybe you're right. If only the old woman hadn't left her dog behind.
