M	CHARACTER	DIALOGUE
M	by Ronald Bass	First Draft Screenplay reservation at least an hour overdue. Tourists can't even make the
M	CAPTAIN	A variation on our squid ink risotto. Trace of Moselle, to sweeten the stock.
M	CAPTAIN	Don't kill us on this one, it's a long shot.
F	JULIANNE	I'm writing it up as inventive and confident. Which it is. Off the record, I'll need an extra boat of the ink. Or a salt shaker.
M	CAPTAIN	I'll toss a coin.
M	DIGGER	Is it ever embarrassing, having your bum kissed in public?
F	JULIANNE	If your ass isn't chapped, you are not a good-writer of note.
F	JULIANNE	Is it sad to be an editor, and bask only in reflected insincerity?
M	DIGGER	I've adjusted, and thanks for asking.
F	JULIANNE	See the pull of a book like Twenty Chefs, is not who I put in. It's who I leave out.
M	DIGGER	Which is everyone you couldn't get in.
F	JULIANNE	Plus some guys whose food I don't like.
M	DIGGER	This fellow from Newsday ever call?
F	JULIANNE	I'll buzz my machine. Inventive and confident, yeh?
M	DIGGER	Needs salt.
F	JULIANNE	Is Newsday a real interview, or just some cute guy you're setting me up w...
M	DIGGER	... I don't send you men, anymore. You don't know what to do with them.
F	JULIANNE	Sometimes I do. Like for two months.
M	DIGGER	... weeks. Hey. It's Michael.
M	MICHAEL (V.O.)	God, it must be, what, months, huh? I can't wait to talk to you. I'm in Chicago at the Ritz Carlton...
M	MICHAEL (V.O.)	Call me four in the morning, whatever, we gotta talk.
M	DIGGER	Who called? The man of the moment?
F	JULIANNE	No, no, the opposite. That's my best friend, Michael O'Neal. He sounds desperate to talk.
M	DIGGER	The wandering sportswriter.
M	DIGGER	I didn't know you two had a past.
M	DIGGER	The look in your eye.
F	JULIANNE	Sophomore year at Yale we had this one hot month. And, you know me, I got restless...
F	JULIANNE	So I get up the nerve to break his heart. I tell him there's this dreamy exchange student from Pakistan who wants to, you know...
F	JULIANNE	And he gets this... look. He says, "I knew I couldn't hold your interest", which, of course, makes me feel like the shallow bitch I've always been...
F	JULIANNE	Then he says, "But what makes me want to cry. Is I'm losing the best friend I ever had."
F	JULIANNE	And when he said it, I knew. I felt the same.
F	JULIANNE	So I cried. For maybe the third time in my life. And I kissed him. And we've been best friends ever since.
F	JULIANNE	Nine years, we've seen each other through everything. Losing jobs, losing parents, losing lovers... travelled all over, we've had the best times. The best times of my life, maybe. Just drinking and talking. Even over a phone.
M	DIGGER	Kindred spirits.
F	JULIANNE	No, he's nothing like me. He's like you. Only straight.
F	JULIANNE	He's the salt of the earth. Kind and loyal and generous. The one constant thing in my life, is he'll always be there.
M	DIGGER	He's still in love with you.
F	JULIANNE	Maybe. But it never gets in the way.
M	DIGGER	Well, he has a true friend in you.
M	DIGGER	Whenever George tells someone how steadfast I am, he always makes me sound boring.
F	JULIANNE	Solid and genuine is not boring. Michael can be completely insane...
F	JULIANNE	There was this one night in Tucson, like six years ago... we got amazingly drunk, I mean, Keith Richards time...
F	JULIANNE	God, I haven't thought of this in so long...
