M	CHARACTER	DIALOGUE
M	HANNAH	What do you want?
F	JANE	Shelter. Jane Eyre adapted by Moira Buffini March 2008 4.
M	HANNAH	I can't take in vagrants. Here's a penny. Now take it and go.
F	JANE	I have no strength to go.
M	HANNAH	You can move off. And if there are others with you tell them we are not alone. We have a gentleman here, and dogs.
F	JANE	But I must die if I am turned away.
M	JANE (CONT'D)	God help me. I will die.
M	ST JOHN	All of God's creatures must die. But not prematurely - and not on my doorstep I hope.
M	HANNAH	We've had a beggar woman come, Mr Rivers. I sent her - For shame!
M	ST JOHN	You did your duty in excluding her. Let me do mine in admitting her.
M	DIANA	St John, who is it? Jane Eyre adapted by Moira Buffini March 2008 5.
M	ST JOHN	I don't know; I found her at the door.
M	HANNAH	I thought her one of the gypsies from the cross.
F	MARY	She's as white as death.
M	DIANA	Hannah, some water.
F	MARY	She's worn to nothing. She looks like a spectre. St John, if you hadn't taken her in, we would have fallen upon her dead body in the morning.
M	DIANA	Mary.
M	ST JOHN	She's no vagrant; I'm sure of it.
M	HANNAH	There's milk and bread for you.
M	ST JOHN	Ask her her name.
F	JANE	I - I am J -
M	JOHN REED	Jane Eyre!
M	DIANA	Please, tell us how we may help you.
M	ST JOHN	Can we send for anyone? Who are your people? Jane Eyre adapted by Moira Buffini March 2008 6.
M	JOHN REED (V.O.)	Jane Eyre! Where are you?
M	JOHN REED	Come out, rat. I know you are in here. Come out now and I won't punish you.
M	JOHN REED (CONT'D)	Rat.
M	ST JOHN (V.O.)	Diana, Mary help me get her upstairs...
M	JOHN REED	I have been looking for you these last ten minutes.
F	JANE	What do you want?
M	JOHN REED	Say forgive me, Master Reed.
F	JANE	I have done nothing wrong. Master Reed.
M	JOHN REED	Who gave you permission to read my book?
F	JANE	I wasn't aware it was yours.
M	JOHN REED	Everything in this house is mine. You're lucky to live here with gentleman's children like us. Your father had nothing. You should go and beg.
M	JOHN REED (CONT'D)	That's for the look you had on your face. You bad animal.
F	JANE	Wicked and cruel - you are a slaver - a murderer -
M	JOHN	I shall tell mother -
F	JANE	I hate you John Reed. I hate you - Jane Eyre adapted by Moira Buffini March 2008 8.
M	JOHN	Mamma! Mamma! There's a rat! Rat!
M	BESSIE	For shame, hitting your master.
M	MISS ABBOT	If you don't sit still you must be tied down!
M	BESSIE	What we do is for your own good. If you are passionate and rude like this, your Aunt Reed will send you away.
M	MISS ABBOT	You're worse than us servants. We work for our keep; you do nothing. Pray for forgiveness Miss Eyre or something bad will come down that chimney and fetch you away. Jane Eyre adapted by Moira Buffini March 2008 9.
M	BESSIE	Miss Eyre what is it?
F	JANE	Bessie!
M	BESSIE	Have you seen something?
F	JANE	There was a light.
M	MRS REED	Bessie, I gave orders that she was to be left in the red room until I came. Jane Eyre adapted by Moira Buffini March 2008 10.
