M	CHARACTER	DIALOGUE
M	WOMAN	Oough! Ahhh!
M	SECRET SERVICE AGENT	Upstairs.
M	WOMAN	What's going on? What's the matter? Who are you?
M	WOMAN	Hey!
M	WOMAN	Dade! Dade!
M	AGENT	Knock it down.
M	PROSECUTOR	The defendant, Dade Murphy, who calls himself "Zero Cool", has repeatedly committed criminal acts of a malicious nature. This defendant possesses a superior intelligence, which he uses to a destructive and antisocial end. His computer virus crashed one thousand five hundred and seven computer systems, including Wall Street trading systems, single handedly causing a seven point drop in the New York Stock Market.
M	JUDGE	Dade Murphy, I hereby fine your family forty-five thousand dollars...
M	JUDGE	...and sentence you to probation, under which you are forbidden to own or operate a computer or touch tone telephone, until the day of your eighteenth birthday.
F	MRS. MURPHY	Dade?
M	DADE	Yeah, mom?
F	MRS. MURPHY	What are you doing?
M	DADE	I'm taking over a TV network.
F	MRS. MURPHY	Finish up, honey, and get to sleep. And happy
M	NORM	Security, uh Norm, Norm speaking.
M	DADE	Norman? This is Mr. Eddie Vedder, from Accounting. I just had a power surge here at home that wiped out a file I was working on. Listen, I'm in big trouble, do you know anything about computers?
M	NORM	Uhhmmm... uh gee, uh...
M	DADE	Right, well my BLT drive on my computer just went AWOL, and I've got this big project due tomorrow for Mr. Kawasaki, and if I don't get it in, he's gonna ask me to commit Hari Kari...
M	NORM	Uhhh.. ahahaha...
M	DADE	Yeah, well, you know these Japanese management techniques. Could you, uh, read me the number on the modem?
M	NORM	Uhhhmm...
M	DADE	It's a little boxy thing, Norm, with switches on it... lets my computer talk to the one there...
M	NORM	
M	COMMENTATOR	...so-called American Indians, Latinos and Blacks come from a genetically mediocre stock...
M	DADE	Yak yak yak. Get a job!
M	TV	You are about to experience the awe and mystery, which reaches from the inner mind, to... The Outer Limits.
M	DADE	Yesssss!
M	U HAVE TREAD	UPON MY DOMAIN & MUST NOW SUFFER WHO R U?
M	DADE	Hey! What?
M	DADE	No, wait. WHO WANTS TO KNOW?
M	DADE	Unbelievable. A hacker!
M	ACID BURN	U R EXPUNGED
M	DADE	Yeah, okay "Acid Burn", that's enough.
M	I WILL	SWAT U LIKE THE FLY U R
M	I WILL	SNAP YOUR BACK LIKE A TOOTHPICK
M	MESS WITH THE BEST	DIE LIKE THE REST TERMINATED
M	DADE	Shit on me!
F	MRS. MURPHY	Good morning. You unpack your stuff yet?
M	DADE	Mm-hmm.
F	MRS. MURPHY	Up all night again, huh?
M	DADE	Can this wait until both my eyes are open, please?
F	MRS. MURPHY	Can I cut the electricity to his room so he'll his computer all night for a solid week. Well yes, he could be playing with himself. Mmm hmm. Yes I'll ask. Dade, you like girls, don't you?
M	DADE	Well, yeah, I just haven't found one as charming as you yet.
F	MRS. MURPHY	You haven't been doing anything stupid, right, Dade? Right, Dade?!
M	DADE	Right, mom. And I'm still a virgin!
F	MRS. MURPHY	You hooked it up to the phone, didn't you? Dade! Turn the shower off! You screw up again and you won't get into college!
F	MRS. MURPHY	I'm sorry we had to move in your senior year. I didn't want to sell the house but I had to take this new job, you know that. You're going to love New York, it's the city that never sleeps!
M	DADE	Excuse me.
M	KID	Yo, chill man, I'm talking to Venezuela.
M	DADE	Yeah, I'm sorry, I was just looking for the principal's office.
M	KID	Sorry, I can't help you, okay?
M	GIRL	Do you have your transfer forms?
M	GIRL	It's a relatively straightforward question.
M	GIRL	Do you speak English?
M	DADE	Sorry, you wanted...?
M	GIRL	I wanted transfer forms.
M	GIRL	Thank you.
M	GIRL	Are you coming?
M	GIRL	The gym is through there, and the cafeteria is through there.
M	DADE	Great. Cool. What's your name?
M	GIRL	Kate. Kate Libby.
F	KATE	Here's your class.
M	DADE	My... class. You mean I'm not in your class?
F	KATE	No, you're not in my class.
M	DADE	Give me time!
M	GUY	Hey, you new?
M	DADE	Yeah.
M	GUY	Tell him about the pool, Kate.
M	DADE	Pool?
F	KATE	Yeah, there's an Olympic size swimming pool up on the roof. Take the stairs over there.
M	DADE	Yeah! Sure.
M	DADE	Thanks!
M	GEEK	Hey! Hold the door!
M	Dade	No pool.
F	KATE	Oh my God! He found the pool.
M	TEACHER	I'm Mr. Simpson. And I'm subbing for Ms. Bayliss who was arrested at the anti-fur rally. I know some of you kids got computers at home. But these are school property, people, and I don't want to see any gum stuck to 'em. Chapter 1. Designing graphical interface...
M	KID	So, um, what's your interest in Kate Libby, eh? Academic? Purely sexual?
M	DADE	Homicidal?
M	KID	What's up, man? I'm the Phreak!
F	PHREAK	The Phantom Phreak? The king of Nynex? I know you play the game.
F	JOEY	Phreakphreakphreakphreakphreak, dudedudedudedudedudedude... I gotta...
F	PHREAK	Joey, Joey...
F	JOEY	What? whatwhatwhat?
F	PHREAK	One more "dude" out of you and I'm gonna slap the shit outa you, okay? Now I'm trying to save you from yourself but you gotta stop letting your mama dress you, man! Check it...
F	JOEY	I need a handle, man. I don't have an identity until I have a handle.
F	PHREAK	You know, you're right about that. Check it, Friday.
F	JOEY	Alright. How about the Master of Disaster, huh?
F	PHREAK	You're hopeless, man, utterly hopeless.
F	JOEY	Ultra Laser. Doctor Doom!
M	CEREAL	Check this out, each and every one of you. Compilation tape, of my own making. I call this the "Greatest Zooks Album". Featuring artists like, well I got some Hendrix on there, some Joplin, Mama Cass, Belushi... all great artists that asphyxiated on their own vomit!
M	CEREAL	Can't get this in stores, man, I made it!
M	OPERATOR	Please deposit five dollars for the first minute.
M	OPERATOR	Thank you.
F	PHREAK	Nonono, thank YOU!
M	DADE	That's a nice score for a girl.
F	KATE	Think you can do better?
M	DADE	I'll give it a shot.
M	CURTIS	Is this kid bothering you, Kate?
M	DADE	Sorry, can I get some room here?
M	CURTIS	Yeah. Why don't you come up here?
M	CURTIS	He's good!
M	DADE	Well, it looks like I'm on top.
F	PHREAK	Congratulations. No one's ever beat her before. You just made an enemy for life. Boy meets world. Let's go?
M	DADE	Who's that?
F	PHREAK	Curtis.
M	DADE	And what's he do?
F	PHREAK	That's it, you're looking at it, he just looks slick all day.
F	PHREAK	What's up?
F	PHREAK	Oh my God. You...
F	PHREAK	Way cool! You saw that?
F	KATE	What the hell is going on?
M	DADE	Pool on the roof must have a leak.
F	PHREAK	Man, oh man, this is gonna be good.
F	KATE	If God gave men brains bigger than dogs', they wouldn't hump womens' legs at cocktail parties.
F	KATE	Ruth Libby.
M	TEACHER	I'm not so sure your mother qualifies as a significant author of the twentieth century.
F	KATE	Her last book sold two million copies.
M	CLASS	Woooooo!
M	TEACHER	"Angel-headed hipsters burning for the ancient heavenly connection to the starry dynamo in the machinery of the night."
M	DADE	That's Ginsburg.
M	TEACHER	Nice. Very nice.
F	KATE	He's not in this class.
M	DADE	I said give me time.
F	KATE	He's not enrolled in this class.
M	TEACHER	Well, he's on my list.
M	TEACHER	"Of all the things I've lost, I miss my mind the most?"
M	CEREAL	Ozzy Osbourne!
M	TEACHER	You. What is your name?
M	CEREAL	Uh, Emmanuel Goldstein, sir?
M	TEACHER	You, however, are not on my list.
M	CEREAL	Whoa, this isn't wood shop class?
F	MRS. MURPHY	How was school?
M	DADE	Hmmm.
F	MRS. MURPHY	What did we learn in school today?
M	DADE	Revenge.
F	MRS. MURPHY	Aaaah. Did we meet someone special?
M	DADE	No. No one special.
F	MRS. MURPHY	Okay, I gotta get back to work. I'm gonna be home late. And would you try and please fill these out?
F	MRS. MURPHY	Oh don't worry, it's only the rest of your life.
M	DADE	Right. Anything else, you want me to mow the lawn? Oops, forgot. New York. No grass.
F	MRS. MURPHY	And unpack.
M	CEREAL	FYI, alright man, you can sit at home, and do like absolutely nothing and...
M	CEREAL	...and your name goes through like seventeen computers a day. 1984, yeah right man, that's a typo. Orwell's here and now, he's living large. We have no names, man, no names. We are nameless. Can I score a fry? Thanks.
F	PHREAK	Meet Cereal Killer. As in Froot Loops? But he does know things.
F	JOEY	Anyways, guys, guys, listen, listen to me. I'm in this computer right? So I'm looking around...
F	PHREAK	D'you bring those Crayola books?
M	CEREAL	Oh yeah, technicolor rainbow.
M	CEREAL	Green one.
F	JOEY	What is that, what is that? Lemmie see. What are these?
M	DADE	International Unix Environments.
M	CEREAL	Luscious orange?
M	DADE	Computer security criteria, DOD standards.
M	DADE	The Pink Shirt Book, Guide to IBM PCs. So called due to the nasty pink shirt the guy wears on the cover.
M	CEREAL	What's that?
M	DADE	Devil book. The Unix Bible.
M	CEREAL	What's that?
M	DADE	Dragon book. Compiler design.
M	CEREAL	Oh yeah? What's that?
M	DADE	The Red Book. NSA Trusted Networks. Otherwise known as the Ugly Red Book that won't fit on a shelf.
F	JOEY	Anyway, anyway, guys guys guys, come on. I'm in this computer, right. So I'm looking around, looking around, you know, throwing commands at it, I don't know where it is or what it does or anything. It's like, it's like choice, it's just beautiful, okay. Like four hours I'm just messing around in there. Finally I figure out, that it's a bank. Right, okay wait, okay, so it's a bank. So, this morning, I look in the paper, some cash machine in like Bumsville Idaho, spits out seven hundred dollars into the middle of the street.
M	CEREAL	That's kinda cool.
F	JOEY	That was me. That was me. I did that.
M	DADE	You did this from your house.
F	PHREAK	What are you, stoned or stupid? You don't hack a bank across state lines from your house, you'll get nailed by the FBI. Where are your brains, in your ass? Don't you know anything?
M	CEREAL	Stupid, man. It's universally stupid.
F	JOEY	You guys always think I should know everything, and you never tell me anything. Am I right?
F	PHREAK	Alright, what are the three most commonly used passwords?
F	JOEY	Love, secret, and uh, sex. But not in that order, necessarily, right?
M	CEREAL	Yeah but don't forget God. System operators love to use God. It's that whole male ego thing.
F	PHREAK	Look, you wanna be elite? You gotta do a righteous hack. None of this accidental shit.
M	CEREAL	Oh yeah, you want a seriously righteous hack, you score one of those Gibsons man. You know, supercomputers they use to like, do physics, and look for oil and stuff?
F	PHREAK	Ain't no way, man, security's too tight. The big iron?
M	DADE	Maybe. But, if I were gonna hack some heavy metal, I'd, uh, work my way back through some low security, and try the back door.
M	CEREAL	Yeah but oh man, wouldn't you just love to get one of those Gibsons, baby? Ooooh!
F	PHREAK	Yo, who ate all of my fries?
M	CEREAL	Joey?!
F	JOEY	What, no, nonononono, I didn't touch your fries. I did not touch your fries.
F	PHREAK	Cereal, man, you owe me a pack.
M	CEREAL	It was him, man!
F	PHREAK	You're psyched. You need to lay off of that shit.
M	CEREAL	I'm gonna hit you!
F	JOEY	YES! Home run, home run. You and me Lucy. We're gonna show em baby.
M	HAL	Mr. Belford?
M	PLAGUE	My name is the Plague.
M	HAL	Uh, Mr. The Plague, uh, something weird's happening on the net.
M	PLAGUE	As in what, you hapless techno-weenie?
M	HAL	Uh, the accounting subdirectory in the Gibson is working really hard. We got one person online, the workload is enough for like ten users. I think we've got a hacker.
F	JOEY	Okay, okay, we need proof that we were here. Right, uh...
F	JOEY	Yeah, Garbage, okay, give me Garbage. anarchist, yet not consciously realizing he sold out that
M	PLAGUE	Never fear. I is here.
M	HAL	I've narrowed the activity to terminal 23.
M	PLAGUE	Let's echo 23, see what's up.
M	PLAGUE	"God" wouldn't be up this late. "Garbage".
M	PLAGUE	Shit! Get me the switching control center.
M	PLAGUE	I need to trace a call that's in progress.
F	JOEY	Shit! Uh yeah... hold on, mom. Hold on one second.
M	JOEY'S MOM	I mean it! Open the door, Joseph.
F	JOEY	Yeah, uh, yeah, okay.
F	JOEY	There you go.
M	JOEY'S MOM	Bed. Sleep. Now!
M	JOEY'S MOM	Sweet dreams, Joey.
M	HAL	He's gone!
M	PLAGUE	Did you get a trace?
M	OPERATOR	Yeah, we got him.
M	PLAGUE	Good.
M	CEREAL	Nice place, huh.
M	DADE	You heard of a hacker called Acid Burn? You know who he is?
F	PHREAK	No, don't know who he is. Do you?
F	PHREAK	Nikon! Lord Nikon this is...
M	DADE	Crash Override.
M	NIKON	Never heard of you. Done anything?
M	DADE	No.
F	PHREAK	Come on!
M	NIKON	What, your mom buy you a 'Puter for Christmas? Does he know anything?
F	PHREAK	Sure man, he's elite.
M	NIKON	Come in.
M	CEREAL	Uh... Nikon, can I... can I crash at your place tonight?
M	NIKON	Again? Yeah sure.
M	BOTH	Ooka-pow!
M	GILL	Hackers penetrate and ravage delicate public and privately owned computer systems, infecting them with viruses, and stealing materials for their own ends. These people, they are terrorists.
M	CEREAL	Agent Richard Gill, You're hacker enemy number one, man. You're a boner!
M	NIKON	Yo, showtime, showtime!
M	DADE	What's going on?
M	ALL BUT DADE	
M	RAZOR	Welcome to our show!
M	BLADE	Hack the Planet!
M	ALL BUT DADE	Hack the Planet!
M	RAZOR	For those late night hacks...
M	BLADE	Jolt Cola! The soft drink of the elite hacker.
M	DADE	Who are these guys?
M	NIKON	That's Razor and Blade.
M	DADE	Razor and Blade.
M	RAZOR	That's right, this IS a payphone.
M	RAZOR AND BLADE	Don't ask.
M	BLADE	As you can see, this is just a simple microcassette recorder. (shows the microcassette recorder) Hook it up to the phone and drop in five bucks in quarters.
M	RAZOR	Record the tones that the coins make. And hang up and get your money back!
M	BLADE	And never again have to pay for a service that would be dirt cheap...
M	RAZOR	...IF it weren't run by a bunch of profiteering gluttons!
M	BLADE	Remember, hacking is more than just a crime. It's a survival trait!
