M	CHARACTER	DIALOGUE
M	REVISIONS BY ARNE OLSEN	DIRECTED BY BRYAN SPICER REVISED DRAFT OCTOBER 31 1994
M	VOICE	In a time of great strife, a legendary interdimensional being known as Zordon, came to the city of Angel Grove to establish a vanguard in the never ending struggle against evil. with the aid of his trusted assistant, Alpha 5, the noble master sought out six extraordinary teenagers and gave them the power to transform into an unstoppable fighting force. In time of great need, the young heroes could now call upon colossal assault vehicles known as "Zords". while the identity of the six remained a guarded secret, their courageous exploits soon became the stuff of Legend, earning them the title... The Mighty Morphin Power Rangers.
M	ROCKY	YeeeoowwWWWWW!!!
M	ROCKY	We're OUTTA here!!
F	KIMBERLY	Easy, Rock.
M	TOMMY	Once we hit the target zone we've got fifteen seconds to make the drop.
M	BULK (0 . S .)	Step aside, pinheads.
M	BULK	The Stealth Eagle is about to fly.
M	SKULL	Ditto for the Swooping Swallow.
F	AISHA	Lead on, flyboys.
M	SKULL	Bulk... where'd the earth go?
M	BILLY	Five seconds to the target zone!
M	TOMMY	Aisha you' re on !
M	ROCKY	Stylin!
M	ADAM	On your tail!
M	BILLY	All systems
M	TOMMY	Surf's up!
F	KIMBERLY	Catch you on the flipside.
M	BULK	Be the eagle. Be the eagle.
M	SKULL	Be the swallow. Be the swallow...
M	BULK AND SKULL	Aaaaaahhhhhhhh!!!
M	BULK AND SKULL	YEAAAAAAHHHHHH!!
M	TOMMY	Let's BREAK!!
M	MR. KELMAN	Okay, so the firemen landed four out of six inside the target --
M	BOWLER	How `bout a show tune?!
M	MR. KELMAN	Somebody wanna keep chose bowlers in line.
M	FRED	Hey dad, get with the program!
M	MR. KELMAN	Ladies and gentlemen, it's Angel Grove High
M	MR. KELMAN	And that's one! A perfect landing!
M	MR. KELMAN	Three for three. Look at `em go!
M	MR. KELMAN	That's five perfect landings! Now it's all up to Tommy Oliver.
M	TOMMY	Touch down.
M	FRED	Looking good up there.
M	TOMMY	Thanks, man.
M	MR. KELMAN	Congratulations - the Observatory's got a new lease on life.
M	FRED	Awesome! Ryan's Comet is passing over in two days!
F	AISHA	Who's up for lunch?
M	ROCKY	You read my mind.
F	KIMBERLY	Last one to Ernies buys.
M	ADAM	Let's roll!
M	SKULL	Stealth Eagle, huh? The Lame Duck is more like it!
M	TOMMY	Let's take the shortcut!
M	CONSTRUCTION WORKER #2	Whadda you figure it is?!
M	CONSTRUCTION WORKER #1	Hey, ya got me.
M	CONSTRUCTION WORKER # 1	... I'll be damned.
M	CONSTRUCTION WORKER #1	AHHHHHHHHH!
M	REPORTER	We're here at the World Center Construction Site, where a mysterious object was just uncovered in a freak accident in which one workman suffered minor injuries...
