M	CHARACTER	DIALOGUE
M	CRISWELL	Greetings, my friend. You are interested in the unknown, the mysterious, the unexplainable... that is why you are here. So now, for the first time, we are bringing you the full story of what happened... We are giving you all the evidence, based only on the secret testimony of the miserable souls who survived this terrifying ordeal. The incidents, the places, my friend, we cannot keep this a secret any longer. Can your hearts stand the shocking facts of the true story of Edward D. Wood, Junior??
F	DOLORES	Eddie, my dove just flew out the window!
M	CREW MEMBER	She goes on in two minutes! What are we gonna do??
M	ED	Dolores, give me your shoes.
F	DOLORES	What?
M	ED	The ghost can be barefoot. Give me your shoes!
M	CREW MEMBER	Wow.
M	ACTOR #1	Hey, I think I see something!
F	DOLORES	I offer you mortals the bird of peace, so that you may change your ways and end all this destruction.
M	ED	What a show! Everyone was terrific! Paul, your second-act monologue actually gave me chills,
M	PAUL MARCO	Aw thanks, Eddie.
M	CONRAD	I got the early edition! It was just dropped off at the newsstand.
M	ED	This is the big moment...!
M	BUNNY	What does that old queen know? He wasn't even there! Sending a copy boy to do his dirty work. Well fuck him!
F	DOLORES	Do I really have a face like a horse?
M	PAUL MARCO	What does "ostentatious" mean?
M	ED	Hey. Hey, it's not that bad. You just can't concentrate on the negative. He's got some nice things to say... See, "The soldier costumes are very realistic." That's positive!
M	ED	Hell, I've seen a lot worse reviews. I've seen ones where they didn't even like the costumes! Like, that last "Francis the Mule" picture -- it got terrible notices. But it was a huge hit.
M	PAUL MARCO	Lines around the block. So don't take it too seriously. We're all doin' great work.
M	CONRAD	You really think so?
M	ED	Absolutely! It's just the beginning. I promise this: If we stick together, one day I'll make every single one of you famous.
M	ED	Honey, what if I'm wrong? What if I just don't have it?
F	DOLORES	Ed, it was only one review.
M	ED	Orson Welles was 26 when he made "Citizen Kane." I'm already 30!
F	DOLORES	Ed, you're still young. This is the part of your life when you're supposed to be struggling.
M	ED	I know... But sometimes I get scared this is as good as it's gonna get...
F	DOLORES	Things'll change for us. Nobody stays on the fringe forever.
F	DOLORES	God, where's my pink sweater? I can never find my clothes anymore...
M	RUDE BOSS	Hey big shot, get off your ass. They need a potted palm over in the Carl Laemmle Building.
M	ED	Sure thing, Mr. Kravitz.
M	ED	Whoa, look at all this sand. This is real sand! My God, where'd they get all this sand?!
M	SECURITY GUARD	Hey, YOU. This is a closed set.
M	OLD CRUSTY MAN	Hey, Eddie! Come in here. I got some great new stuff to show you.
M	ED	This is fantastic! What are you gonna do with it all?
M	OLD CRUSTY MAN	Eh, probably file it away and never see it again.
M	ED	It's such a waste. If I had half a chance, I could make an entire movie out of this stock footage! See, the story opens with these mysterious explosions. Nobody knows what's causing them, but it's upsetting all the buffalo. So the military is called in to solve the mystery.
M	OLD CRUSTY MAN	Ya forgot the octopus.
M	ED	No, I'm saving that for the big underwater climax!
M	SECRETARY #1	They say he was a girl trapped in a man's body.
M	SECRETARY #2	I'll bet it hurt when they snipped his thing off.
M	ED	What are you ladies gabbin' about?
M	SECRETARY #1	You know that Christine Jorgensen freak? He/she/it's in "Variety." Some producer is making a biopic.
M	ED	R-really? I didn't see the story.
M	SECRETARY #1	Ah, it was buried in the back. The guy's a real smallótime operator.
