M	CHARACTER	DIALOGUE
M	BLOOD RED CLOUDS 8	sweep past the moon. In order to rid myself of the foul thing, I read from a passage in the book that was supposed to open a hole. A hole in Time that would send the Evil back. And it worked. A BANDAGED, ONE HANDED ASH 9 recites the incantation from the Necronomicon. The Time vortex is created. Trees and a 1973 Delta 88 Oldsmobile are sucked up into the funnel cloud. ...I just didn't plan on coming along. Ash, now armed with shotgun and chainsaw, is swallowed by the Ash is rocketing through a funnel of swirling clouds. He is ANIMATION - A TENDRIL OF SMOKE 13 swirls through blackness as a chorus of women's voices build words: "BRUCE CAMPBELL" "Vs" The smoke is wisked away, then reforms as... "THE ARMY OF DARKNESS" The title billows past CAMERA REVEALING... A GRANDFATHER CLOCK its hands winding backwards at an insane rate, spins angrily ASH 15 He SCREAMS but there is no sound. No scream. Only the steady ANGLE ON ASH FRONT SCREEN PROJECTION 16 He shields his eyes from a sudden bright light. The funnel ASH'S BODY 17 RIPS at the fabric of Time. All is quiet. Then, an electrical disturbance in the shape of ASH falls to the dust. His double barrelled shotgun lands ASH 20 TWENTY-FIVE MOUNTED HORSEMEN 21 in 12th century armor ride up over a hill. They halt before Ash. WARRIOR #1 22 thrusts his longsword into the air, shouting: WARRIOR #1 Hail to him who has come from the sky to deliver us from the terror of the Deadites! Hail! ASH 23 stares in confusion at the strange medieval figures.
M	TWENTY-FIVE WARRIOR 24	join in the chant and hail Ash, but suddenly stop as...
M	ARTHUR 25	the muscular commander of the group, gallops his horse into ARTHUR'S P.O.V. 26 The Delta 88 Oldsmobile. The chainsaw, strapped to Ash's back.
M	A FRIGHTENED ASH 27	waves a shaky hand. ASH Take is easy now chief. I don't know how I got here and I'm not lookin' for any trouble. WISEMAN JOHN 28 An elderly man, in a long black cloak, steps forward.
M	WISEMAN JOHN	My Lord Arthur, I believe he is the promised one, written of in the Necronomicon. ARTHUR 29 Brings his sword down across Ash's chest. Ash cries out in pain ASH'S CHEST 30 is cut. A thin red gash.
M	ARTHUR	He bleeds. As a man bleeds. The one written of in the Book would not bleed. ARTHUR GESTURES 31 and CAMERA PANS to four prisoners bound in iron shackles.
M	ARTHUR	Likely, he is one of Henry's men. I say to the pit with him! If he is truly the promised one... he will emerge. WARRIOR #2 AND #3 Aye! The pit's a fair test! GOLD TOOTHED WARRIOR To the pit with the blackard! GOLD TOOTH 32 charges his horse at Ash. But he is met with the wooden stock WIDE SHOT - GOLD TOOTH - STUNTMAN 33 He tumbles from the horse. ASH 34 leaps atop Gold Tooth's horse and jerks the reigns. LONG SHOT - ASH'S HORSE 35 rears up, kicking it's hooves into the air. ASH 36 gallops off as Warrior #2 runs at him. Ash kicks him in the face TRUCKING SHOT - ASH 37 galloping over a hill. He is almost thrown by the horse, but ASH Where the hell they put the stirrups on this thing!!?? CLOSE SHOT - ASH'S FEET 38 grasping at the side of the horse, hoping to find some purchase. he rides past CAMERA, almost falling from the horse. ARTHUR LIEUTENANTS! Fetch me the blackard. TWO OF ARTHUR'S ARMORED HORSEMEN 41 unsheathe their broadswords and gallop after Ash. The remaining HIGH SHOT - TWO HORSEMEN 42 They are gaining an Ash. ASH 43 glances behind him. ASH'S P.O.V. - TRUCKING SHOT - TWO HORSEMEN IN PURSUIT 44 ASH 45 whips his horse. ASH GIDDYPU! THE FIRST HORSEMAN 46 rides up alongside Ash and swings his Broadsword. WHOOSH!!!
M	ASH 47	ducks the blade. THE SECOND HORSEMAN 48 rides up alongside Ash's other flank. He swings and lands the THUNK! ducks as the first horseman swings his blade again. WHOOSH! ASH looks left... THE SECOND HORSEMAN 50 winds up for another blow. ASH 51 yanks back upon his horse's reigns. THE THREE HORSES 52 running side by side. Ash's horse drops back suddenly.
M	THE SECOND HORSEMAN 53	swings. HIS BROADSWORD 54 slams the First Horseman across the face. THE FIRST HORSEMAN 55 is knocked from his steed. TRUCKING SHOT - THE FIRST HORSEMAN 56 is moving fast when he hits the ground. His armored form tumbles turns around and gallops back toward Ash. WIDE SHOT - ASH AND THE SECOND HORSEMAN 58 ride at one another. TRUCKING SHOT - THE SECOND SWORDMAN AS HE RIDES 59 swinging his Broadsword. TRUCKING SHOT - ASH AS HE RIDES 60 He inserts the stump of his right arm into the female end of FOOMP! He twists his stump and the chainsaw bracket locks into He thrusts his chainsaw arm outward, pulling on the starter THE SECOND HORSEMAN 61 draws close. He leans from his horse and swings his Broadsword
M	ASH 62	is knocked from his steed. He tumbles to the dust, narrowly ASH 63 rolls to his feet and spins to the sound of approaching hooves! charges and swings his broadsword. ASH 65 raises his chainsaw. CLINK! He deflects the blow. Ash swings TRUCKING SHOT - THE SECOND HORSEMAN 66 is knocked from his horse. LOW TRUCKING SHOT - THE SECOND HORSEMAN 67 bounces along the rocky ground, kicking up dust.
