M	CHARACTER	DIALOGUE
M	OLD KIM	Snuggle in, sweetie. It's cold out there.
M	GRANDDAUGHTER	Why is it snowing, grandma? Where does it come
M	OLD KIM	Oh, that's a long story, sweetheart.
M	GRANDDAUGHTER	I want to hear.
M	OLD KIM	Oh, not tonight. Go to sleep.
M	GRANDDAUGHTER	I'm not sleepy. Tell me, please.
M	OLD KIM	Well, all right. Let's see. I guess it would
M	GRANDDAUGHTER	Scissors?
M	OLD KIM	Well, there are all kinds of scissors. And once
M	GRANDDAUGHTER	A man?
M	OLD KIM	Yes.
M	GRANDDAUGHTER	Hands, scissors?
M	OLD KIM	No, scissorhands. You know the mansion on top
M	GRANDDAUGHTER	It's haunted.
M	OLD KIM	Well, a long time ago, an inventor lived in
M	GRANDDAUGHTER	He didn't have a name?
M	OLD KIM	Of course, he had a name. His name was Edward.
F	PEG	Avon calling.
F	HELEN	Weren't you just here?
F	PEG	No, not since last season. Today I've come to
F	HELEN	My changing looks? That's good.
F	PEG	Well, it goes that saying and I also have a
F	HELEN	Come on, Peg. I never buy anything from you.
F	PEG	I know. Bye, Helen.
M	REPAIRMAN	You know, you didn't have to call me, ma'am.
F	JOYCE	I could? I don't think so.
M	REPAIRMAN	Yeah, you see, it's easy. The food trap's
F	JOYCE	You know, on TV they say you repairmen are
M	REPAIRMAN	And then you just take this and put it back in
F	JOYCE	On no! Who could that be? Will you excuse me
F	PEG	Good morning, Joyce. Avon calling.
F	JOYCE	Why! Peg. Have you gone blind? Can't you see
F	PEG	Oh, yes.
F	JOYCE	Well, I'm surprised you don't realize that means I'm busy.
F	PEG	Okay. Now, we should decide on lipsticks. Okay,
M	A GIRL	I like them both.
F	PEG	Well, great.
M	A GIRL	You don't actually think I have any money, do you?
M	CHILDREN	Ding, dong, the Avon lady.
F	PEG	It's just not my day. through her rearview mirror and drives to the place. She is attracted by the beautiful garden
F	PEG	Oh, my goodness.
F	PEG	Oh, it's so beautiful. Hello? Hello? Avon calling, oh my. Hello, I'm Peg
F	PEG	Hello. Hello. Why are you hiding back there? Oh my! I can see that I've disturbed you. How
M	EDWARD	Don't go.
F	PEG	Oh my! What happened to you?
M	EDWARD	I'm not finished.
F	PEG	Uh, put those down. Don't come any closer. Just
M	EDWARD	He didn't wake up.
F	PEG	Are you alone? Do you live up here all by
M	EDWARD	Edward.
F	PEG	Edward? I think you should just come home with Oh!
M	EDWARD	I'm-I'm sorry.
F	PEG	No, Don't be. You go ahead and look you have
F	PEG	Oh! Are you ok?
M	EDWARD	Are you ok?
F	HELEN	Hello.
M	MARGIE	Hi, it's Margie. Listen, I was standing outside
F	HELEN	Did you get a good look?
M	MARGIE	No, did she say anything to you, about having
F	HELEN	She didn't say anything. She rang my doorbell
M	MARGIE	No, ok, I'll meet you on the corner. Right,
F	HELEN	Oh, damn!
F	PEG	Here we go, dear. This is our house. And you
M	A WOMAN	Joyce, I just saw this strange guy drop in with
F	JOYCE	Yes, I'll be right there.
F	PEG	Here we are. So, oh, this is the living room Oh, no, no. Don't be alarmed. That's just a
F	PEG	No, no, scissors. That's right. Well, he was I'm sorry Edward, I didn't... oh, dear. May I
M	EDWARD	Thank you.
F	PEG	There you go. Oh, dear, you've cut your face. Okay. No, good. Now let's get you dressed.
F	PEG	Okay. Now what did I do with my sci... Edward,
M	EDWARD	Really?
F	PEG	Yes, I can help with the scars. I just want to
F	PEG	Kevin, it's not polite to stare. Think how it
M	KEVIN	I wouldn't care.
F	PEG	Well, I would, so don't do it!
M	BILL	This must be quite a change for you, Ed.
F	PEG	I think he prefers Edward.
M	BILL	Sure. So what have you been doing up there in that big old place? I bet the view must be
F	PEG	I was just...
M	BILL	See all the way to the ocean?
M	EDWARD	Sometimes.
F	PEG	Bill, could I have the salt and pepper? Thank
M	KEVIN	Man, those things are cool. You know I bet
F	PEG	Would you like some butter for your bread?
F	PEG	Great.
M	EDWARD	Thank you.
M	KEVIN	Can I bring him to show and tell on Monday?
F	PEG	I've had enough.
F	PEG	You think you can sleep? Things feel strange
F	PEG	The light concealing cream goes on first, then
M	RADIO	Hartely into the windup and the strike one
M	BILL	Turn it up, Kevin. I can't hear it. Kevin! No,
M	RADIO	Hartely's strike two pitch is hammered.
M	KEVIN	You hear that, Mr. Boggs?
M	BILL	No, make it louder. Sports announcements on
M	RADIO	It's going way back. It's gone. It's out of
M	KEVIN	Dad, look! Sports announcements on
M	RADIO	A grand slam for Martinez to make it a five-run
M	BILL	I'll be darned.
F	PEG	They filled the whole tape.
M	RECORDED VOICES	What's going on over there, Peg. Call me....Hi,
M	BILL	Boy, it's just wonderful, Ed. My god, you, you
M	KEVIN	Edward, come here.
M	BILL	No, no, no. That's a terrible idea, son. Go to
F	PEG	Edward, you did us? Oh, Bill. It's us.
M	BILL	Yes, it is.
F	PEG	Oh, Edward.
F	ESMERALDA	It's not heaven he's from. It's straight from
M	EDWARD	We are not sheep.
F	ESMERALDA	Don't come near me.
M	BILL	That's right. Go on. Get out of here. Run!
F	PEG	Edward, don't you listen to her.
M	BILL	Don't worry about her, Edward. She's just an
M	WOMEN	Hi!
F	JOYCE	You are all hiding in there like a bunch of old
F	PEG	Hi, Joyce. Hi!
F	JOYCE	Shame on you, keeping your unusual guest all to
F	PEG	No, it, it's... things have just been a little
F	JOYCE	Oh, that was so sweet of you to want to correct
F	PEG	Barbecue?
F	JOYCE	Well, you intend to show your guest hospitality
M	ANOTHER WOMAN	I'll bring coleslaw.
F	JOYCE	And I will bring the ambrosia salad. What time
F	PEG	What time? Ah... bill.
F	JOYCE	About five?
F	ESMERALDA	He has been sent first to tempt you. But it's
F	JOYCE	Did you hear that? He's the perversion of
F	PEG	I've always said that you really can't have a big...
M	EDWARD	Myself?
F	PEG	That's right. Just your own sweet self.
M	KEVIN	Hey, play scissors, paper, stone with us.
M	EDWARD	Play scissors what?
M	NEIGHBOR	I got a doctor friend might be able to help
F	PEG	He did them just like that.
F	TINKA	This afternoon?
M	AT THE PARTY	Hi, Mike. How are you doing? Hello, Jack. Hey,
F	PEG	Are you ok? Do you want something to eat? Are
M	MARGIE	He's so... different completely different, No
F	JOYCE	Do you imagine those hands are hot or cold?
F	HELEN	Or undo.
M	GEORGE	Eddie. The guys and I were talking, we'd like
M	AN OLD MAN	I have my own infirmity. Never did me a bit of damn thing. Listen Don't you ever let anybody
F	JOYCE	Who's handicapped? My goodness! Don't be especially for you. Allow me.
M	WOMAN 1	You must try this.
F	MARGE	You must try this. It's my mother's recipe.
M	HOUSEWIFE	Me, too. There you go.
M	WOMAN 2	I want a row of angels.
F	JOYCE	Sorry, ladies. But he's promised to come to my
M	WOMAN 3	One more.
F	JOYCE	Haven't you, Eddie?
M	EDWARD	I did?
M	BILL	Okay, everybody. Grab your plates. Soup's on.
M	EDWARD	I thought it was shish kebab.
M	BILL	What?
M	EDWARD	I thought it was shish kebab.
M	BILL	Yeah, it, it is shish kebab. It was a figure of back the time the inventor taught
M	INVENTOR	Let us pretend we're in the drawing room, and
M	EDWARD	Hmm, no.
M	INVENTOR	Is it good form to accept a second cup? "Now, blunders. "But etiquette humiliation and
M	DENNY	Okay, guys, we're home. shh.
F	KIM	I can't believe. Everything's still sopping.
M	TEENAGE GIRL	I can't wait to take a shower.
F	SUZANNE	And wash off the mildew.
M	JIM	If my parents set the alarm, I'm screwed I'll
F	KIM	I told you to call to say we're coming back
M	DENNY	Did you?
F	SUZANNE	He'd rather complain.
M	JIM	How else can I be the center of the attention?
F	KIM	They don't run their house like a police
M	JIM	See you later. Bye.
F	KIM	Don't forget your arm.
M	JIM	Oh, yeah.
M	DENNY	Come on, Jim let's go.
F	KIM	Bill! There's somebody in my room. Go. Look. A
M	BILL	It's all right. It's all right. Go back to bed. It's only Edward. This way.
F	PEG	Honey, that was Edward.
F	KIM	Who is he? What are you talking about?
F	PEG	Edward's come to live with us. There's nothing
M	BILL	We'll have you a setup here in a minute. Up
M	EDWARD	What is it?
M	BILL	Lemonade. I don't know what it is. They reach a
M	EDWARD	Glands?
M	BILL	yeah, glands. I try not to think about it Good. Isn't it?
F	PEG	Now you stay in Kevin's room tonight. Tomorrow
F	KIM	Mom, why did you have to bring him in here?
F	PEG	Oh, honey, I couldn't have left him there all
F	KIM	Why does he have to stay here?
F	PEG	Oh, my goodness, Kim. I'm surprised at you. He
F	KIM	I do have a little sympathy.
F	PEG	Then let's just say hello and later you can
F	KIM	Shake his hand?
F	PEG	Well, not literally. Goodness, you scared him
F	KIM	I scared him to death?
F	PEG	Hi, Bill. I just wanted you two to have a
F	KIM	Hi!
F	JOYCE	Eddie. Thirsty? Kisses, Hush up. Quiet now. I can hardly hear Wouldn't you like a nice cool glass of lemonade?
M	EDWARD	Lemonade?
M	KEVIN	One chop to guy's neck. And it's all over.
F	KIM	I think they look weird. They give me the
M	A GIRL	You should see the clown in front of Ms.
M	EDWARD	Kim!
F	KIM	Oh, no!
M	A GIRL	That's him?
M	JIM	He's calling you, Kim.
F	KIM	Stop it.
M	A WOMAN	Edward, you forgot your cookies.
M	JIM	Don't worry, Eddie. She's waiting for you.
M	A GIRL	Let's go.
F	PEG	Bill, you know what Edward told me? He had
M	BILL	Really?
F	PEG	She's just had her kitchen completely redone.
M	BILL	I'll be darned.
F	PEG	New paint, new cabinets, new floors, new
M	BILL	Yeah, isn't that wonderful?
F	PEG	Isn't that something? Jim, didn't you tell me
M	JIM	Yeah, my dad bought himself a bunch of new
F	PEG	My goodness sake! I wonder what it's like to be
M	JIM	No, they keep things pretty much locked up. My
M	BILL	Well, he probably wants you to pay for it
F	PEG	Now, Bill. Margie made him cookies today.
M	BILL	Sweetheart, you can't buy the necessities of
M	JIM	Ah, that's true, sir. You can't.
M	A GIRL	I can't eat that. He used his hands. I don't
M	EDWARD	I'm sorry.
F	PEG	Honey, you want me to help you clean that up?
F	KIM	No, that's okay. I'll be right back.
M	HOUSEWIFE	This can't possibly be my Alexis. She looks so beautiful. Look at you. She's
F	PEG	It won't be long. She has just to decide on the
F	JOYCE	I was hoping for something big and bouffant.
F	PEG	We're getting the head of the company.
F	KIM	I'm home.
F	PEG	Hi, honey. We're in here.
F	KIM	Hi! What did you do to your hair?
F	PEG	Edward cut it. Isn't it wild? Hello. Oh, I can't believe I'm talking to you No wonder she's the head of the company. You
M	EDWARD	She had some ideas?
F	PEG	You bet she did.
M	MARGIE	I'll get that.
M	MARGIE	Edward! We're here. Come on. Let's get you
M	JIM	You got it?
F	KIM	No, I can't believe this. Do you have a key?
M	EDWARD	No.
F	KIM	I could have sworn I put it in here somewhere.
M	JIM	Well, we're stranded.
F	KIM	Wow! Thanks.
M	JIM	Ed, what a guy! Good job. Hey, you didn't break
M	TV HOST	Quite a story, yes? Any questions for Edward? What's been the best part of your new life here
M	EDWARD	The friends I've made.
M	TV HOST	Any other questions?
M	WOMAN 2	Have you ever thought of having corrective surgery or prosthetics? I know a doctor that
M	EDWARD	I'd like to meet him.
M	TV HOST	We'll give that name after the show. Thank you
M	WOMAN 3	But if you had regular hands you'd be like
M	EDWARD	Yes, I know.
M	TV HOST	I think he'd like that.
M	WOMAN 4	Then no one would think you're special. You
F	PEG	No matter what, Edward will always special.
M	TV HOST	More questions? Stand right up.
M	WOMAN 5	Your work is so interesting distinctive and
M	TV HOST	There's an idea. Anyone else? Yeah.
M	WOMAN 6	Do you have a girl friend? Ahh.
M	JIM	Sure, he does. Right, Kim?
F	KIM	Now you got him started.
M	JIM	Knock it off, bubble- butt.
M	KEVIN	You did it.
M	JIM	So?
M	TV HOST	How about it? Is there some special lady in
M	TV HOST	Uh, everything's all right. He'll take a break
F	KIM	Why are you laughing? He got hurt.
M	JIM	It was a little shock. Ha! Ha! Ha!
F	KIM	A little shock?
M	JIM	I wish we'd been taping that. I'd give my left
F	JOYCE	Aren't you excited? Oh, this is just so All along this row here.
M	EDWARD	Peg could sell cosmetics.
F	JOYCE	Sure. This is where I stand when I greet the smocks. Would you like me to model them? This purple one, you know, you kind of drape around
M	EDWARD	I like that one.
F	JOYCE	You're trembling. So am I. I've been waiting
M	BILL	Veloro. Veloro. Sweetheart. That hangs on the
F	PEG	I've never seen that.
M	EDWARD	Sorry I'm late.
F	PEG	Hi, Edward. Sorry. We had to go ahead without
M	BILL	So, Edward, did you have a productive day?
M	EDWARD	Mrs. Monroe showed me where the salon is going
F	PEG	Wouldn't that be great?
M	BILL	Great.
M	EDWARD	And then she showed me the back room where she
M	BILL	Edward. I can't tell you how thrilled I am.
M	EDWARD	The bank?
M	BILL	Yeah, take out a loan. Get yourself started.
M	BANK CLERK	No credit, no record of jobs you've held, no
F	PEG	You know. We already have a second on the
M	BANK CLERK	We simply can't do it. Now get yourself a
F	PEG	I can't believe it. Really, it's just an
F	KIM	But that's breaking and entering.
M	JIM	Look. My parents have insurance up the rear.
F	KIM	We can't.
M	JIM	Look. There's a guy who will give us cash for
F	KIM	Jim, I don't want to.
