M	CHARACTER	DIALOGUE
M	EDWARD	Left pocket.
M	INVESTMENT BANKER 1	Our banks certainly doesn't want to discourage Harris Enterprises from investing in California. We think this is a great new venue for you but you've got to understand the mergers and acquisitions market is changing. With the upswing in inflation we have to make these offerings tempting to offset the risk.
M	VANCE	Look, we're talking about hard assets and a straight liquidation. We have over a thousand man hours in this deal.
F	STUCKEY	This is a "no brainer". There's no risk for you. No one has ever lost money backing Mr. Harris.
M	INVESTMENT BANKER 2	Not yet. But ship building is a new endeavor for you...
F	STUCKEY	Come on. You know we're not going to go into ship building. Besides, you're the ones with the troubled track record, not us!
M	INVESTMENT BANKER 3	Bill, be reasonable. If you're really going to digest Kross Industries that quickly eighteen should not be such a problem. Besides, I don't think there's anywhere else you can go for the money in the time you have.
M	EDWARD	It's unacceptable.
M	EDWARD	Draymen Heux has offered me seventy-five in the pool at sixteen and a half. I can secure the other half personally. You have until tomorrow morning to make me a better offer.
M	EDWARD	The meeting is over, gentlemen.
F	STUCKEY	Hah! Did you see the look on their faces?
M	VANCE	You don't think we pushed too hard?
F	STUCKEY	NO way! They'll come back. They can't afford not to. Edward, that bluff was beautiful.
M	EDWARD	Maybe I should have made it rhyme.
M	EDWARD	Well! It's late. We've been at this long enough.
M	EDWARD	Gentlemen, enjoy the party. The magician's wonderful.
M	EDWARD	Watch your left pocket.
M	BUTLER	Phone call, Mr. Harris. It's Miss Charles.
F	STUCKEY	Cynthia? Is she coming out?
M	EDWARD	We're about to find out. Go on. Take care of your guests.
M	EDWARD	Where are you, Cynthia? I see. No, I don't expect you to be at my beck-and-call. Are you coming or not?
M	EDWARD	Prepare the filing papers. Have them ready by the middle of the week. I'll tell you when to submit them.
M	A MAN	Edward!
M	EDWARD	Yes!
M	THE MAN	Will we see you at the polo matches Wednesday?
M	EDWARD	Wouldn't miss it. I want this done fast and easy. No slip-ups. I want to be back in New York by Saturday. Got it?
F	ELIZABETH	Bill?
F	STUCKEY	Oh... Hi, honey... Millicent, uh, uh, Millicent.
M	MILLICENT	Lowell.
F	STUCKEY	Lowell, right. My wife, Elizabeth.
F	ELIZABETH	Is Edward leaving?
F	STUCKEY	What's up, where you going?
M	EDWARD	Give me your car keys, will you, I'm going back to my hotel.
F	STUCKEY	At least stay for a drink. This party's for you.
M	EDWARD	Apologize to Elizabeth for me.
F	STUCKEY	Listen, there're some major local talent inside just dying to meet you...
M	EDWARD	Really? Some high class gold digger who speaks French better than I do? No, thank you. I just got off the phone with one.
F	STUCKEY	Cynthia's not coming?
M	EDWARD	No.
F	STUCKEY	Let your driver take you. We'll move the cars...
F	STUCKEY	Can you drive a stick?
F	STUCKEY	Edward, give me a break!
M	EDWARD	Love this car! Is it new?
F	STUCKEY	Yes! And you don't even know where you're going!
F	STUCKEY	That's the wrong way!
M	LANDLORD	Vivian.
F	VIVIAN	Yeah, what?
M	LANDLORD	Rent. You're late.
F	VIVIAN	Don't give me that. Kit gave it to you yesterday, cash.
M	LANDLORD	Kit give me nothin'.
F	VIVIAN	You bullshittin' me?
M	LANDLORD	Of rent I do not bullshit.
M	LANDLORD	By the end of the week or you're otta here. By the way, you look very nice tonight!
M	PROSTITUTE	Hey, baby, you lookin' for a date?
F	VIVIAN	Chan, you seen Kit tonight?
M	COOK 1	Hi, hi! No see nothing.
F	VIVIAN	You do, tell her I'm looking for her.
M	COOK 2	Looking good, bay-bee.
F	VIVIAN	Yeah, you too, D'Nai. If Kit comes in here, tell her stay.
M	COP	They just pulled her out of a dumpster in the back. Now talk to me.
M	MAN	I tell you, man, I don't know who she hang with.
M	COP	She have a pimp?
M	MAN	Cocaine her pimp, man. She a strawberry. She be out on these streets, day in, day out, tradin' her sorry ass for crack. And now she dead from it.
F	VIVIAN	You spent it on drugs, didn't you?
F	KIT	Hi, Viv. Carlos, you know my roommate, Viv.
M	CARLOS	Lookin' good, baby.
F	VIVIAN	Did you blow it all, Kit? Is it all gone?
F	KIT	Carlos had some great rock.
F	VIVIAN	I bet. That was our rent!
M	CARLOS	Calm down, Chica.
M	CARLOS	Ey! What is it you wan', baby? I can fix you up.
F	VIVIAN	Beat it, scum bucket!
M	CARLOS	You kiss your mother with that mouth? Your frien' still owes me 200.
F	VIVIAN	Let's go.
F	VIVIAN	Get out of my face or I'll have those cops on your ass in two seconds.
M	CARLOS	Don't take no dates tonight, chica, you got one with me.
F	VIVIAN	We worked for that money. We were gonna put together enough to get out of that dump we live in, get off this street.
F	KIT	Viv... don't be stupid. We're whores.
M	KIT (cont'd)	So I blew our stash. We could make it all back with one good night on the streets.
F	VIVIAN	I just saw somebody pulled out of a dumpster. I wonder how much she made tonight?
F	KIT	Don't be mad at me. I'll pay you back. I promise.
F	VIVIAN	I thought you were giving up that drug shit.
F	KIT	I will. I'm trying. Meanwhile I got some crack left, you wanna get high?
F	VIVIAN	No, let's go to work. Okay?
F	KIT	Okay. I'm sorry I said your dream was stupid.
