M	CHARACTER	DIALOGUE
M	by	v. 04 /2 2/ 88 (P in k) v. 04 /2 7/ 88 (Y el lo w) v. 04 /2 8/ 88 (G re en ) v. 05 /0 2/ 88 (G ol de nrod) v. 05 /2 5/ 88 (C he rr y) v. 06 /1 6/ 88 (T an ) v. 06 /2 2/ 88 (S al mo n) CONSOLIDATED FOURTH DRAFT v. 07 /0 5/ 88 PM ( Mi nt Grn) v. 07 /2 5/ 88 (G ol de nrod) April 27, 1988
M	WERNER (V.O.)	On his 35th birthday, I decided to tell Julius Benedict the truth about himself...
M	WERNER (V.O.)	It wasn't that he was the product of a scientific experiment.
M	WERNER (V.O.)	An experiment designed to produce a physically, mentally and spiritually superior human being. I explained that to him when he was two years old. And it wasn't the complexity of Julius's parentage. He knew that unlike other little boys, he didn't have just one, but half a dozen fathers, all very distinguished men. * Nor was it about the extraordinary woman chosen to be his mother... Julius had long lived with the tragic news that she died giving birth to him. What Julius didn't know, until this very moment, was that, about a minute after he was born... Another nurse emerges from the delivery room, holding up
M	WERNER (V.O.)	His mother gave birth to another baby...
M	The angry baby. Fuming.	PULL BACK to reveal: The two of them are in the same crib. The leg of the angry baby. It suddenly lashes out, The angry baby. All smiles now. HOLD ON the two babies in their crib as the following ARNOLD SCHWARZENEGGER DANNY DE VITO TWINS
M	JULIUS	I have a brother?!!! A greenhouse on the island. Werner, now 70, is bent and old. Julius, in peasant garb
M	WERNER	He was sent to an orphanage in Los Angeles. At the same time I brought you here to the island. Julius isn't listening. His eyes shine.
M	JULIUS	I have a twin brother?!! What's his name?
M	WERNER	Vincent. JULIUS Vincent -- Every time I loved something I called it Vincent -- I called my first computer Vincent! I have to find him! Werner. The ocean spread out below them is vast and WERNER You've been here since you were a baby -- you know nothing of America -- JULIUS I know it is the cradle of democracy and the land of the free; besides, I speak twelve languages -- I'm sure I can get a job.
M	WERNER	They're a simple people; rather primitive, not like us.
