M	CHARACTER	DIALOGUE
M	MOTHER SUPERIOR	Agnes!... Agnes...
M	PARAMEDIC	I'm just going to put something here to stop the bleeding. Excuse me Sister. She'll be fine.
M	REPORTER	Here they are now.
M	LEVEAU	Martha, it's you.
F	MARTHA	What about Roger? He's free.
F	EVE	They want a woman.
M	LYON	All you have to do is meet with her once or twice... then tell the court she's insane.
F	MARTHA	Are you dictating my position to me? We're getting into some sticky legal territories here.
F	EVE	Martha, all we're saying is, no-one wants this to come to trial, not the Church, not the Crown... least of all me.
F	MARTHA	Eve, she strangled a baby!
F	EVE	Nobody is interested in sending a nun to prison.
M	LEVEAU	We're not telling you what to decide Martha. We're not even telling you to take this.
M	LYON	Is there any reason why you feel you shouldn't take it?
F	MARTHA	Today's my birthday. I always make bad decisions on my birthday.
M	LEVEAU	Happy birthday. moves over to her cat. Hi, it's Helen, calling to tell you that Mrs Davenport phoned to confirm her appointment at nine o'clock tomorrow, okay? Bye bye.
M	ROGER (V.O.)	Hi Martha, it's Roger. Can you call me at the hospital. I'd like your opinion on a case. Oh, bye the way, happy birthday. Bye. Hi, Marty it's Helen again. I cancelled your Wednesday afternoon appointment so you can visit with your mother. Bye bye.
M	MAN	in hand. A sign tangled over with creeper reads "Les Petites
F	MARTHA	Bonjour, I'm Doctor Martha Livingston, I... Hello... I'm Doctor Martha Living...ston... I... hastily grinds it underfoot.
M	tries	to kick it away. ...the court-appointed psychiatrist. Thank you. I um... I believe your Mother Superior's expecting me.
M	MOTHER SUPERIOR	Doctor Livingston I presume? I'm Mother Miriam Ruth. You needn't call Mother if you don't wish. Most people find it uncomfortable.
F	MARTHA	Well... I...
M	MOTHER MIRIAM	I'm afraid the word brings up the most unpleasant connatations in this day and age...
F	MARTHA	Yes... I...
M	MOTHER MIRIAM	You can call me Sister.
F	MARTHA	... Thank you.
M	MOTHER MIRIAM	You must have tons of questions. You may smoke if you want to. Just don't tell any of the Sisters. They wouldn't understand, especially Sister Marguerite. She'd scare the pants off Queen Elizabeth. Besides, I miss them.
F	MARTHA	You were a smoker?
M	MOTHER MIRIAM	Two packs a day.
F	MARTHA	I can beat that.
M	MOTHER MIRIAM	Unfiltered. Well, you have questions. Fire away...
F	MARTHA	Who knew about Agnes' pregnancy?
M	MOTHER MIRIAM	No-one.
F	MARTHA	How did she hide it from the other nuns?
M	MOTHER MIRIAM	She undressed alone... she bathed alone.
F	MARTHA	Is that normal?
M	MOTHER MIRIAM	Yes.
F	MARTHA	How did she hide it during the day?
M	MOTHER MIRIAM	She could have hidden a machine gun in here if she had wanted to.
F	MARTHA	Didn't she have any physical examinations
M	MOTHER MIRIAM	We're examined once a year. Her pregnancy fell in between the doctor's visits.
F	MARTHA	Who was the father?
M	MOTHER MIRIAM	I haven't a clue.
F	MARTHA	What man had access to her?
