M	CHARACTER	DIALOGUE
M	RAND PELTZER	walks through the owd. An American businessman.1-He
M	RAND	Hi. I'm from out of town... on business from the U.S. The woman nods and smiles.
M	AN ORIENTAL MAN	passes by. He is very old. Deep wrinkles. Long white
M	RAND	I'm looking for a present... for my son. The woman nods. She searches through her wares. She
M	RAND	He's not really involved in sports... The woman puts away the basketball. She picks up a Sony
M	RAND	No. I want something unusual... something he can't get at home... something different..
M	A HAND	reaches out and grabs Rand's arm. Startled, he turns.
M	ORIENTAL MAN	I can help you. He leads Rand away from the booth.
M	ORIENTAL MAN	I offer something very different. Very unusual. Rand is puzzled. The Oriental leads him to a doorway.
M	ORIENTAL MAN	Follow me. He opens the door, motioning for Rand to follow. Rand
M	ORIENTAL MAN	Come. Take a look. It will cost you nothing. You won't be disappointed. The Oriental enters. Rand shrugs and follows.
M	INSIDE	Rand follows the man up a narrow, dark set of stairs. Rand crinkles his nose. It su,Qlls bad in here. Rand is very puzzled. The Oriental rests the box on a stack of crates. He opens A TINY CREATURE is inside'. The animal is eleven inches tall and stands; upright on The creature is smiling. It lets out a giggle. The Oriental claps his hands. The creature leaps from the box, onto Rand's shoulder. The Oriental claps his hands again. The creature hops back into the box. It stares at Rand
M	RAND	What is it?
M	ORIENTAL MAN	It is called ' Mogwai ' . A very rare and intelligent animal. I found it in the fields near my home It will obey all orders. It learns fast. The Oriental looks at Mogwai and claps his hands.
M	ORIENTAL MAN	--Mogwai leaps to the ground. It scurries across the floor, Mogwai removes a raw tuna from the crate. It tears off a
M	ORIENTAL MAN	And if you are ever in need of a song... He claps his hands to the creature.
M	ORIENTAL MAN.	Music. Mogwai begins to hum, in an unearthly falsetto. It's Rand watches with wide eyes. He feels like a child again.
M	RAND -	How much?
M	ORIENTAL MAN	One hundred American Dollars. Cash. Rand removes five twenties from his wallet. He gives The Oriental smiles and claps his hands. Mogwai jumps
M	ORIENTAL MAN	It never sleeps. It will eat any- thing... but prefers raw meat. It must always be kept indoors during the day. It lives in shadow. It hates bright light. Direct sunlight will kill it. Rand nods. He takes Mogwai from his shoulder and puts it
M	ORIENTAL MAN	Your son will enjoy his new friend. Rand smiles and exits. The Oriental takes a bite from Mogwai is inside of a small plastic pet box. The creature's
M	RAND	Yes, Fred. The Tai-Chan account is definite. MmmHmm. My plane l eaves in twenty minutes. See you in Pennsylvania. He hangs up. He picks up his bags and walks to the check-
M	THE CHECK-IN GIRL	tags Mogwai's box and puts it on the conveyer belt.
M	CHECK-IN GIRL	Don't worry, sir. Your pet will be safe. Rand smiles. She nods.
M	RAND	What does it mean?
M	STEWARDESS	Devil. She moves to the next passenger. Rand stares. Surprised. Confused. Children ice skate along a large,. frozen lake. Kingston's business district. Chilly gas station atten- A Pharmacy owner hangs "Merry Christmas" (in sparkling Telephone line workers share hot coffee from a thermos.
M	INSIDE.	Crowded. Several peoplestandin line.
M	BILLY PELTZER	a bank teller, writes out a receipt for a customer. Billy is 26 years old. His sturdy build and good looks are râ¢ Finishing the transaction with his customer, Billy looks to
M	BILLY	Next.
F	MRS. DEAGLE	an elderly woman, walks to Billy's window. She's a real
M	TRACY ALLEN	another teller, works beside Billy. Tracy is pretty. Big Tracy counts out some cash to a customer. She's trying
M	GARY LUCIA	the bank security guard, is trying to make her laugh. He Meanwhile, Billy gives the check back to Mrs. Deagle.
M	BILLY	I can't cash this, M'am. Your last check hasn't cleared.
F	MRS. DEAGLE	Don't you recognize me?
M	BILLY	No, M'am. I'm sorry...
F	MRS. DEAGLE	My name is Mrs. Julia Deagle! My husband manages the.Sparkle Market! We've been banking here for sixteen years!
M	BILLY	T at's very nice, M'am. But your c eck hasn't cleared and...
F	MRS. DEAGLE	That's the problem with this world. It's a mess because of people like
M	BILLY	It's not my.fault your check didn't clear, M'am,
F	MRS. DEAGLE	Don't get smart with me, oung man.
M	BILLY	I wasn't getting smart, I was...
F	MRS. DEAGLE	Where's the president? I want to see the bank president! Billy rubs his eyes. Tense. Embarrassed.
M	ROLAND FRESCO	the bank's Vice President, walks over to Billy and Mrs.
M	ROLAND	What seems to be the problem, M'am?
F	MRS. DEAGLE	My name is Mrs. Julia Deagle. This young teller is being very rude! I demand that you fire him! Roland looks at Billy. Billy rolls his eyes. Roland Now,-Mrs. Deagle...I'm sure this isn't that serious. I'm sure an apology would fix things right up. Wouldn't it? The woman shrugs.' Roland turns to Billy.
M	ROLAND	Apologize to the woman, Billy. Billy leans to Roland.
M	BILLY	I. didn't do anything wrong.
M	ROLAND	Just apologize. Roland.leans back and smiles at Mrs. Deagle. Billy sighs. He needs his job.
M	BILLÂ°	I'm sorry, Mrs. Deagle. She nods and smiles. Roland puts his hand on the woman's
M	ROLAND	Come back to my desk, Mrs. Deagle. I'll personally take care of your banking problems. Roland walks back to his office with Mrs. Deagle. Billy just sits. Angry. Humiliated. He calls the next lb.
M	BILLY	Next.
M	TRACY	stands in the lobby, putting on.her coat. Billy moves to
M	BILLY	Let me. He helps her on with the coat.
M	BILLY	You look very pretty today. Thanks, Billy.
