M	CHARACTER	DIALOGUE
M	SALKIND	PRODUCTIONS N.V. Rights Reserved
M	TEACHER	And now, who can give me the electron wave functions for Kryptonian covalent bonding?
M		The cube root of the wavelength over the log of the integral of the speed of squared.
M		Well, maybe that was a bit too easy... CAMERA ROAMS ON through the city, following the sound of a strange, ethereally beautiful singing. The CAMERA discovers the source of the sound: an ARTIST sculpting a beautiful crystalline object with a MATTERWAND. The wand makes the singing noise as it creates matter out of energy. The Artist, whose name is ZALTAR, sometimes whistles along in counterpoint. .
M		are you making:
M	ZALTAR	going to be a tree, I think.
M		a tree?
M	ZALTAR	something they have on Earth. You know, where your cousin went.
F	KARA	is Earth?
M	ZALTAR	you study six-dimensional geometry in
F	KARA	I know the equations---I just can't see it in head.
M	ZALTAR	Even I have trouble with that sometimes. Earth is in space. And we're in inner space.
F	KARA	don't understand.
M	ZALTAR	till you're older. Here -- watch this. This is one of the four Power Sources of the City. borrowed it from the Guardians. Look what I do with it. touches his MATTER.WAND to the OMEGAHEDRON and the wand instantly becomes charged with flickering light. He touches his wand to the tree sculpture---and the comes alive with dancing lights and shadows. Kara claps her hands with delight the spectacle. Zaltar steps back and admires his handiwork. He carefully puts down the at his feet, takes a small flask from his belt, and drinks.
M	ZALTAR	You see, a tree is a living thing.
F	KARA	Can you create life?
M		No, no, just the illusion of life. A kind of maybe. A pale shadow of the real But it is lovely, the way the light plays the surface. . .
M	VOICE	Kara.
F	KARA	here, mother.
M		Kara, you shouldn't be so near the Edge a grown-up.
F	KARA	sorry, Mother.
M	ZALTAR	was keeping an eye on her. puts her arm around her daughter affectionately, showing she's not really angry. Together they watch Zaltar's latest sculpture, flickering with the play of inner light and shadow.
M		Thank you, Zaltar, but she has to obey the rules.
M		You and your husband have been kind to me, I have something to tell you: I'm going Soon.
M	ALURA	where? bends down to Kara and hands her his matterwand.
M		Put your fingers there, Kara. And press hard.
M		Good. Now, go make something pretty. sounds with the wand on the plaza nearby. Zaltar speaks to Alura in a low, confidential voice.
M		discovered a new way into the Phantom
M	ALURA	the phantom Zone is for criminals.
M	ZALTAR	big. And empty. I'm tired of limiting myself Argo City. I want to do something new. I'm to repeat myself here with this airy, stuff....
M		But Zaltar---you founded the city! It's yours. We all just refugees from Krypton when you gathered together and brought us here, to the inner dimension. can't abandon us now. You have a responsibility to us!
M		an artist, Alura. My work comes first. Other come second.
M	ALURA	can you create beauty...with a selfish heart? spiky insect-creature flies closer and closer around the little girl's head, buzzing angrily. Her look of delight turns to fear. She tries to shoo the creature away. It flies off toward the thin membrane that encloses the city.
M		Power Source!
M		I'm sorry... I didn't know.
M	ZALTAR	It was my fault. You aren't old enough to use wand. I shouldn't have given it to you.
M	ALURA	the Power Source, Zaltar.
M	ZALTAR	couldn't be helped. The city will have to make do three.
M	ALURA	what will happen?
M	ZALTAR	Guardians will be angry. They may even me to the Phantom Zone. You see, I didn't have permission to borrow it. I must go to them...
M		here George. It's the perfect spot. Nice view.
M	GEORGE	You sure are a good cook, Selena. Man, that looks pretty to eat.
F	SELENA	eat it quick. It won't look too pretty when it's covered with ants.
M	GEORGE	Selena, I've been thinking. It's time I settled I don't know a nicer lady to settle with than you.
M		Why George, are you proposing?
M	GEORGE	me, Selena. The hardware store doesn't bring much now, but...
M		George---I thought you'd never ask.
M		What the heck is that?
M		squirrel Frisbee?
M		That's funny. I'd swear I know just what this is, I've never seen it before.
M		Hey, where you going?
F	SELENA	got things to do.
M	GEORGE	about my proposal?
F	SELENA	me next week. Maybe we can have lunch.
M		My truck!
M		But Kara, you are too young to go.
M		I am almost an adult. This is what I want.
M		But Kara, no one has ever gone from here to The journey is dangerous.
F	KARA	was my fault we lost the Power Source.
M	ZOR-EL	ago. And it was Zaltar who stole it.
F	KARA	allowed it to escape the City.
M	ALURA	since we told you how your cousin Superman sent there as an infant, all you have wanted to do visit this place.
F	KARA	I do want to go. But someone must go. Our shows the Power Source has finally the Earth. It could destroy everything unless brings it back.
M	ZOR-EL	will return it.
F	KARA	haven't you been able to contact him? He should returned from the neutron galaxy ages ago. He be dead. what can you, a mere girl-
F	KARA	have super powers there. Like him. We can't wait. lights are fading. Look around you. When I was a the City was bright and shining. Look at it now.
M	ALURA	What do your teachers think?
M	TEACHER	It would be sad to lose one of our finest young ones the dimension barrier-- but the City cannot last much without the Power Source. It is her future she's for, Zor-El.
M	ZOR-EL	well, let it be done. embraces Kara emotionally, fighting back the tears. Kara too is struggling to control her own emotions.
M		Don't worry, Mother, I'll be all right. I've studied transmissions from Earth. I know their customs.
M		But they are such strange, unstable people.
F	KARA	Then I will learn to act strange like them.
F	KARA	I have made clothing and copies of their money, I be fine. father puts his hand on her shoulder .
M	ZOR-EL	Be brave, my .daughter. Be wise.
F	KARA	As brave as my father. As wise. it to powder in her hand, and blows the fine dust away with a blast of superbreath.
M		Be careful. Nigel is going to try something.
F	SELENA	Don't worry about old Nigel, I can take care of him. just a sore loser.
M	MAN	I don't want much, Selena. I have simple tastes.
M		do you want?
M	ELDERLY MAN	Europe.
F	SELENA	sorry, but I already promised Bianca she could Switzerland. You know how she loves to ski.
M	ELDERLY MAN	problem. She can have it. I hate mountains.
M		up, Nigel. It's not the end of the world.
M		It may well be. I know how you won that election You can't fool me.
F	SELENA	have plans Nigel. You could come with me... going places.
M	NIGEL	You're not going anywhere. Except back to nowheresville. too impatient, Selena. Look around you--all people have served years and years of apprenticeship. of their families have been in the Craft for generations. can't join and take over our whole organization in a few months.
M		I just did. Because I have the Power.
M	NIGEL	You're going to pay a terrible price. The power of Shadow tricky. Use it too much and it takes over.
M		taught me all! need to know. I'll be safe, as as I don't go too far.
M	NIGEL	
M	NIGEL	Sorry. Forgot you were trying to quit. snags a glass of champagne off the tray of a nearby waiter and sips it insolently.
M		Nigel, get out of here. And don't come slithering shakes his head.
M		You need me, Selena. I'm the only one who can save from a terrible fate.
F	SELENA	need you like an Eskimo needs a lawnmower. Now rubber.
M		Make me.
M		Balefire on you, Selena!
F	SELENA	You Scorpios can never take a joke. quests have fallen silent, staring at the altercation between the two of them.
M	NIGEL	You think you are on top now. Well there is someone to challenge you. I saw it in the cards this morning.
F	SELENA	him out.
M		You won't last a year, Selena. The cards don't lie!
F	BIANCA	Let's not let one rotten apple spoil the party. I give you first woman in eight hundred years to head Circle: Selena!
M		Thank you, sisters and brothers of the Craft. It is a honor you have given me, and I will try to be And when my secret plans are revealed -- will learn that we are on the threshold of and influence undreamed of when Nigel was leader.
F	SELENA	And now, ,I call upon the Great Mother--the spirit Nature --- to bless all our endeavors in the year...
M	MAN	this Nigel's doing?
M		It's a warning, that's for sure.
M	ELDERLY MAN	Maybe it was just an accident.
F	SELENA	There's no such thing as an accident. Everything has if you can read the signs.
M	MAN	Then what does it mean??? shrugs and puts aside her cards.
M		Don't ask me. I can't read the signs worth spit.
M		Geeze, another barfy new student. They're really the bottom of the barrel these days.
M	MR. DANVERS	Don't you believe in knocking?
M		yes. Knocking. The pre-entry signal. I forgot. gives her a strange look, does not put it down to smart-aleckyness, as he normally would.
M	DANVERS	can I do for you?
M	LINDA	Linda Lee. cousin wrote you.
M	. DANVERS	Wrote me?
M		The letter's in your files. Under K, for Kent.
M	LINDA	I mean, it would probably be there, if you received it.
M	MR. DANVERS	Here it is. Oh...of course. You're the orphan. I'm so sorry your parents. We'll try to make you happy here.
M	DANVERS	...since your school records were lost in the fire, we'11 you out easy first. You'll have English, Latin, History, Art, Chemistry, Math, Biology Computing. Later on, you can add some electives. think we'll put you in "G" dorm. opens the door and ushers her into the dorm.
M	MONITOR	Man on the floor!
M		Oh, MR. Danvers, come in and park it.
M	MR. DANVERS	Lucy, your roommate still home with anorexia?
M		It wasn't anorexia. It was the food.
M	MR DANVERS	Linda, this is Lucy Lane. You can room with her. her around, Lucy; I believe you know her MR., uh, Kent. Lucy turns into a bundle of She grabs Linda's suitcase and leads into the room chattering away excitedly.
M		Wow, you're Clark's cousin?? Fabuloso! Clark's a My sister Lois was a real nerd to let that one away. You'll love it here, we have a great dorm, really insane characters, I mean radical craziness...
M		can do that.
F	LUCY	sweat. When's the rest of your stuff arriving?
M		isn't any.
M		is all your clothes?
M		I have money to buy more, but I haven't had a since...
F	LUCY	what?? Did you have a fire at your house or
M	LINDA	rather not talk about it.
F	LUCY	not...an orphan are you?
M	LINDA	cousin Clark is my only relative on Earth.
F	LUCY	wow, I should've known. Me and my big mouth. Listen, can borrow any of my clothes you want. Any time.
M		Thank you. You're very kind.
M		I'm real sorry, Linda, I should've known it was tragic if you show up without a Here, try on this. And this.
M		did that deliberately.
F	LUCY	a beast.
F	LUCY	you do that?
M		Must've been a defective puck.
F	LUCY	Keep an eye peeled for Myra. She's out to get you.
M		what for?
M		She just hates anybody who isn't afraid of her.
M		they in?
M		Listen to the screams when I shut off the cold water.
M		But, Myra, why don't you shut off the hot water and them an ice bath? If you shut off the cold it, scald them.
M		So they lose a little skin. Serve 'em right.
M	DANVERS	Now, this is the kind of problem that used to take before the computer. It still takes a long without certain algorithms. Are you with us?
M		Uh, yes, MR. Danvers.
