M	CHARACTER	DIALOGUE
M	SERIES OF SHOTS	as the Dog traverses a landscape of -- BODIES, frozen in contorted death poses. This was The Dog climbs a mound of casualties. At the top, the
M	KING ACRISIUS	Now we end the debate about tactics... and begin to plan for victory. The Dog stares at the King. Then slips away. The Dog approaches a doorway; stops to watch from the
M	NIGHT	In the dim bedchamber, the SILHOUETTE of QUEEN DANAE as a The Dog's eyes. He moves forward.
M	FLOOR-LEVEL	TRACKING WITH the Dog's legs as they MORPH INTO HUMAN In the bed, the Queen is startled, then pleased.
M	QUEEN DANAE	My King! Has the strategy been set so quickly?
M	REVERSE ANGLE	The looming figure looks exactly like King Acrisius,
M	QUEEN DANAE	Come to your Queen, my King. On the wall above is the huge shadow of a four-legged creature -- and now it appears: The Dog stops at the top of the stairs and regards the The Dog comes down the steps, eyes upon them, and passes staring at --
M	ANOTHER ANGLE	Queen Danae, PREGNANT NOW, and weeping. Her arms are A ROYAL ENTOURAGE is gathered. The women weep, the men Palace Guards lift the Queen into a chest and chain it Some members of the Royal Entourage look with scorn at registers their disapproving looks and angrily turns to WE SEE in his face what the others do not -- shame and IN THE WATER BELOW, the chest rights itself and rides out staggers to his feet, a skin of ale in his hands. It is The second Rider, the King's STEWARD, dismounts to give My own subjects condemn me! They dare judge me? And what emboldens this treachery?...
M	STEWARD	You are mistaken, my King. None would risk your anger --
M	KING ACRISIUS	It is Zeus who warps my kinadom!... Zeus the ungodly, Zeus the defiler... This talk sobers the Steward instantly; he looks about fearlessly.
M	STEWARD	Please, speak not these things -- Acrisius spins on him, out of control --
M	KING ACRISIUS	He cuckolds me in my castle, rapes my precious Queen! This is a low, conniving God... But I have bested him on this day and humbled the great Prime. Tell me, Panos, who rivals Zeus on Olympos? Who does the Fearless One fear?
M	STEWARD	I beg you, Your Highness -- Acrisius pulls a dagger and holds it to the Steward's
M	KING ACRISIUS	Tell me what the Priests say!
M	STEWARD	Tiamat... Tiamat, Queen of the Deep. Those who dare, whisper she covets Zeus' throne and schemes to achieve it, the ambitious Goddess of the Dark Oceans...
M	KING ACRISIUS	Yes, Tiamat! And today I have honored her. The King whirls and staggers up the crest of the dune.
M	KING ACRISIUS	I've taken Zeus' whore and the bastard she grows in her belly and thrown them to Tiamat in her rough sea! I honor Zeus' rival with all that was dear to me -- -- and commit double murder in her honor... About to go to pieces, rage seizes him again --
M	KING ACRISIUS	so that Zeus will know I despise and disdain him and spit on his foul name! The Steward shrinks from this blasphemy, eyes darting in ON THE CREST the King is silhouetted in the moonlight, And thus, KING ACRISIUS BECOMES... KALIBOS! The Steward SEES what we now cannot. An INHUMAN ROAR and -- a SPRAY OF DUST, moving fast, behind a blurred BLACK -- in an instant, the apparition blows past them -- wind
M	OLD MAN	Thoth the Quick... Messenger of the Gods. Bound for Olympos. The rushing Black Form crosses a field, leaving a violent wave in the long grass and suddenly -- -- INTO the clouds above the peak. THROUGH the mist -- Thoth bows deeply before the throne of ZEUS, majestic,
M	THOTH	My lord.
M	ZEUS	We have debated, we have voted, and it is decided. We offer the Humans peace. Thoth, you will take them the terms of a treaty -- A treaty! Zeus and his eagle turn their heads. The God's eyes are -- TIAMAT, QUEEN OF THE DEEP, the only God fearless
M	TIAMAT	We don't negotiate with them! We dictate to them. Their place is to beg. They have forgotten their role and have denied us the sustenance of their prayers.
F	APHRODITE	Our mercy will give them reason to be grateful. They will bow down and whisper our names with more passion than before.
M	TIAMAT	They will bow down when we snap their backs! Mercy? We are Gods! Some of us remember that and are not afraid -- Zeus has had enough: furious ARCS OF LIGHTNING jump to
M	ZEUS	Silence! Or learn what it is to be afraid! The debate is over, the votes cast... Zeus points to a golden tray; it bears TEN chips of
M	ZEUS	We guarantee an armistice, we shield the bridegroom and the Joppan royal family. And we do not interfere in their actions. We leave them undisturbed unless-invoked by name to enter their affairs.
M	SET	And if they refuse our terms?
M	ZEUS	They have suffered terrible losses. They will not pass up a chance for peace.
M	SET	take.
M	TIAMAT	Soon enough, Set. Zeus has grown weaker than I knew. Set gestures at the white chips on the tray as he picks up the two black shards representing their votes. He hands one to Tiamat.
M	SET	So have they all. They no longer see clearly. They're beginning to think like Men. But you and I shall not. Set agrees, his eyes searching her face.
M	TIAMAT	We will manage these thick-witted Humans to our own ends. Yes, we will be bound by great Zeus' rules... until their fragile membranes tear. We dare not interfere with these insects...
M	TIAMAT (CONT'D)	but we may be invited to intervene. Tiamat flicks the obsidian into the reflecting pool --
M	APPROACHES.	The clouds stop dead. The crowd stops. TIME STOPS. A someone. Flitting nearby is his Queen -- CASSIOPEIA, a fading impulsive and vain. AMOUN stands calmly by -- he is special advisor (or Magi
M	AMOUN	The emissary approaches. Take your time in your responses, debate nothing... I've received ambassadors before.
M	AMOUN	None like this.
M	KEPHEUS	I'm not cowed. If these arrogant Gods are so powerful, why are they the ones seeking a truce? I only recommend you take care with the tone of the conversation. A truce would benefit all...
M	KEPHEUS	In my palace, I decide how the discourse proceeds, not some messenger sent on errands by Zeus.
M	THOTH (O.S.)	You are correct, Your Highness, I do the bidding of Zeus... To their astonishment, the emissary is already in the
M	THOTH	... as do all Gods... and all men. Thoth removes his hood, revealing his crystal skull.
M	THOTH	King Kepheus, as humble messenger of Zeus, I've come to talk of peace. Thoth the Quick, I am Amoun, the King's Magi Strategos. We welcome you with humility, honored by your visit from the realm of the Gods. The King shoots Amoun a look, but he is still shaken by her composure.
M	KEPHEUS	I am a reasonable man. Everyone wishes for the conflict to cease.
M	THOTH	Zeus above all. He has so long desired the tragedy end, he made a plan that began twenty-five years ago.
F	CASSIOPEIA	Twenty-five years! How is that possible? Amoun winces at her tone. Thoth sends a scary glance her
M	THOTH	Beauteous Queen, let Thoth limn for you the forethought and wisdom of Zeus, God of Gods.
M	KEPHEUS	A treaty marriage?
M	THOTH	You have a daughter of age. Andromeda!
M	KEPHEUS	Surely Zeus does not ask a mortal father to give his daughter to a God.
M	THOTH	No. Such a union would be unclean. Years ago Zeus created a scion of mixed blood. Half-man, half-God. Bred for just this union. That is how important Zeus considers this truce.
F	CASSIOPEIA	Is my only daughter to marry a demigod, not of this earth?
M	THOTH	A prince, of both Olympian and Human royalty. A chosen one. Zeus has given his son to the cause of peace.
M	KEPHEUS	I have heard of no such demigod.
M	AMOUN	Majesty, if I may -- the young man does exist. He lives in a small fishing village on the isle of Seriphos. Kepheus turns, surprised at Amoun's foreknowledge.
M	KEPHEUS	You knew about this and said nothing? Just which king do you serve?
M	AMOUN	My Queen, I serve only the great order of things. I was the boy's tutor years ago.
M	KEPHEUS	How haughty this boy must be, who knows he is half-God.
M	AMOUN	He knows nothing and believes himself an ordinary man. He has never left his village. He can be overconfident, but it is from inexperience, not arrogance. Repheus and Cassiopeia exchange wary looks. Sharply
F	CASSIOPEIA	What assurance do we have that our daughter will be safe? You have my word, as Ambassador of the Gods.
M	KEPHEUS	With our daughter's future at stake, we do not bestow trust easily. If any harm should come to her -- Amoun reacts, but it is too late -- Thoth has been Suddenly, the WALLS GROAN, compressing with an AWFUL The golden marbles on a tabletop roll from their pits and The Princessa shall not be harmed.
M	AMOUN	Your Majesty... Of course... of course your word is unquestioned here. Thoth's demeanor changes. The marbles spill off the
M	KEPHEUS	Where is the lucky young suitor? As the net passes we see -- ANTEROS, a hapless young fisherman, his legs entangled in PERSEUS, 25, wiry, bronzed from the sun, a stubbled jaw, Perseus swims INTO VIEW and uses his knife to cut the net One more slice and the shark zooms out of the net, Then, gruffly --
M	SPYROS	Your grieving does Anteros no good. It comforts only you.
M	PERSEUS	It's my fault he's gone.
M	SPYROS	He was careless with the net. Perseus gives him a hard look.
