M	CHARACTER	DIALOGUE
F	DOROTHY	She isn't coming yet, Toto. Did she hurt you? She tried to, didn't she? Come on - - we'll go tell Uncle Henry and Auntie Em. Come on, Toto.
M	DOROTHY (CONT'D)	Aunt Em! Aunt Em!
M	DOROTHY (CONT'D)	Aunt Em!
M	AUNT EM	Fifty-seven, fifty-eight --
F	DOROTHY	Just listen to what Miss Gulch did to Toto! She --
M	AUNT EM	Dorothy, please! We're trying to count! Fifty-eight--
F	DOROTHY	Oh, but Aunt Em, she hit him over the --
M	UNCLE HENRY	Don't bother us now, honey -- this old incubator's gone bad, and we're likely to lose a lot of our chicks.
F	DOROTHY	Oh -- oh, the poor little things. Oh, but Aunt Em, Miss Gulch hit Toto right over the back with a rake just because she says he gets in her garden and chases her nasty old cat every day.
M	AUNT EM	Seventy -- Dorothy, please!
F	DOROTHY	Oh, but he doesn't do it every day -- just once or twice a week. And he can't catch her old cat, anyway. And now she says she's gonna get the sheriff, and --
M	AUNT EM	Dorothy! Dorothy! We're busy!
F	DOROTHY	Oh -- all right.
M	UNCLE HENRY	Poor little orphan, and her Miss Gulch troubles. Gosh all hemlock - you know, she ought to have somebody to play with.
M	AUNT EM	I know, but we all got to work out our own problems, Henry.
M	UNCLE HENRY	Yes.
M	AUNT EM	Oh, I hope we got them in time.
M	UNCLE HENRY	Yes.
M	ZEKE	How's she coming? Take it easy. Ow! You got my finger! CS -- Zeke and Hickory holding wagon bed --
M	ZEKE	Well, why don't you get your finger out of the way!
M	HICKORY	Come on - come on - over this way.
M	ZEKE	Okay.
M	HICKORY	There you are.
M	HUNK	Right on my finger!
M	ZEKE	It's a lucky thing it wasn't your head.
F	DOROTHY	Zeke, what am I going to do about Miss Gulch? Just because Toto chases her old cat --
M	ZEKE	Listen, honey, I got them hogs to get in.
M	HUNK	Now lookit, Dorothy, you ain't using your head about Miss Gulch. Think you didn't have any brains at all.
F	DOROTHY	I have so got brains. Well, why don't you use them? When you come home, don't go by Miss Gulch's place. Then Toto won't get in her garden, and you won't get in no trouble. See?
F	DOROTHY	Oh, Hunk, you just won't listen, that's all.
M	HUNK	Well, your head ain't made of straw, you know.
M	HICKORY	Oh! Oh, it feels like my joints are rusted. Listen, Dorothy, don't let Hunk kid you about Miss Gulch. She's just a poor sour-faced old maid that -- she ain't got no heart left. You know, you should have a little more heart yourself, and have pity on her.
F	DOROTHY	Well, gee, I try and have a heart.
M	HICKORY	Now look, here's something that really has a heart. This is the best invention I ever invented.
F	DOROTHY	This?
M	HICKORY	Sure. It's to break up winds, so we don't have no more dust storms. Can you imagine what it'll mean to this section of the country? I'll show you. It works perfectly now. Here's the principle. You see that fan -- that sends up air currents into the sky. These air currents -- Oh, stop it!
F	DOROTHY	Oh!
M	HICKORY	Who did it? Now wait a minute.
F	DOROTHY	Hickory!
M	HICKORY	Now what happened? I'll bet Hunk did that.
M	ZEKE	Say! Get in there before I make a dime bank out of you! Listen, kid, are you going to let that old Gulch heifer try and buffalo you?
M	ZEKE (CONT'D)	She ain't nothing to be afraid of. Have a little courage, that's all.
F	DOROTHY	I'm not afraid of her.
M	ZEKE	Then the next time she squawks, walk right up to her and spit in her eye. That's what I'd do!
F	DOROTHY	Oh! Oh! Oh, Zeke! Help! Help me, Zeke! Get me out of here! Help!
M	HICKORY	Are you all right, Dorothy?
F	DOROTHY	Yes, I'm all right. Oh -- I fell in and - - and Zeke --
M	DOROTHY (CONT'D)	Why, Zeke, -- you're just as scared as I am!
M	HUNK	What's the matter -- gonna let a little old pig make a coward out of you?
M	HICKORY	Look at you, Zeke -- you're just as white
M	AUNT EM	Here, here, what's all this jabber- wapping when there's work to be done? I know three shiftless farm hands that'll be out of a job before they know it!
M	HICKORY	Well, Dorothy was walking along the --
M	AUNT EM	I saw you tinkering with that contraption, Hickory. Now, you and Hunk get back to that wagon!
M	HICKORY	All right, Mrs. Gale. But some day they're going to erect a statue to me in this town, and -- Well, don't start posing for it now. Here, here -- can't work on an empty stomach. Have some crullers.
M	HUNK	Gosh, Mrs. Gale.
M	AUNT EM	Just fried.
M	HICKORY	Thanks.
M	HUNK	Swell.
M	ZEKE	You see, Dorothy toppled in with the big Duroc...
M	AUNT EM	It's no place for Dorothy about a pig sty! Now you go feed those hogs before they worry themselves into anemia!
M	ZEKE	Yes'am.
F	DOROTHY	Auntie Em, really -- you know what Miss Gulch said she was gonna do to Toto? She said she was gonna --
M	AUNT EM	Now, Dorothy, dear, stop imagining things. You always get yourself into a fret over nothing.
F	DOROTHY	No --
M	AUNT EM	Now, you just help us out today, and find yourself a place where you won't get into any trouble.
F	DOROTHY	Some place where there isn't any trouble. Do you suppose there is such a place, Toto? There must be. It's not a place you can get to by a boat or a train. It's far, far away -- behind the moon -- beyond the rain --
M	DOROTHY (CONT'D)	Somewhere, over the rainbow, way up high, There's a land that I heard of once in a lullaby.
M	DOROTHY (CONT'D)	...Someday I'll wish upon a star And wake up where the clouds are far behind me. bluebirds fly. Birds fly over the rainbow, Why then -
M	MISS GULCH	Mr. Gale!
M	UNCLE HENRY	Howdy, Miss Gulch.
M	MISS GULCH	I want to see you and your wife right away.... ... about Dorothy.
M	UNCLE HENRY	Dorothy? Well, what has Dorothy done?
M	MISS GULCH	What's she done? I'm all but lame from the bite on my leg!
M	UNCLE HENRY	You mean she bit you?
M	MISS GULCH	No, her dog!
M	UNCLE HENRY	Oh, she bit her dog, eh?
M	MISS GULCH	NO! That dog's a menace to the community. I'm taking him to the sheriff and make sure he's destroyed.
F	DOROTHY	Destroyed? Toto? Oh, you can't! You mustn't! Auntie Em! Uncle Henry! You won't let her, will you?
M	UNCLE HENRY	Of course we won't. Will we, Em?
F	DOROTHY	Please, Aunt Em, Toto didn't mean to. He didn't know he was doing anything wrong. I'm the one that ought to be punished. I let him go in her garden. You can send me to bed without supper --
M	MISS GULCH	If you don't hand over that dog, I'll bring a damage suit that'll take your whole farm! There's a law protecting folks against dogs that bite!
M	AUNT EM	How would it be if she keeps him tied up? He's really gentle -- with gentle people, that is.
M	MISS GULCH	Well, that's for the Sheriff to decide. Here's his order allowing me to take him. Unless you want to go against the law.
M	UNCLE HENRY	Uhh -- yeah --
M	AUNT EM	Now, we can't go against the law, Dorothy. I'm afraid poor Toto will have to go.
M	MISS GULCH	Now you're seeing reason.
F	DOROTHY	No --
