title	male_rating	female_rating	m_num_lines	f_num_lines	m_num_words	f_num_words	m_u_words	f_u_words	m_flesch	f_flesch	m_fog	f_fog	m_kincaid	f_kincaid	m_syllables	f_syllables	m_syl_per_word	f_syl_per_word	m_percent_complex	f_percent_complex
Amadeus	8.4	8.4	875	489	10916	5050	2186	1198	83.26	87.28	7	5.93	4.2	3.21	14600	6620	1.34	1.31	7.24	6.3
American Beauty	8.5	8.2	454	300	4949	3120	1395	905	82.72	85.64	8.02	7.42	5.31	4.67	6404	3964	1.29	1.27	5.62	5.03
Austin Powers  International Man of Mystery	7.1	6.7	661	116	7827	1198	2158	531	74.28	70.26	9.02	10.99	6.45	8.11	10920	1665	1.4	1.39	8.24	8.76
Badlands	7.9	7.9	454	0	3170	0	1025	0	79.71	NaN	9.59	NaN	7.06	NaN	4010	0	1.26	NaN	4.16	NaN
Barton Fink	7.8	7.6	692	90	8899	1116	1967	502	83.07	82.14	7.68	6.87	5.15	4.6	11523	1494	1.29	1.34	5.19	5.91
Batman	7.6	7.5	517	128	5790	1149	1719	492	86.05	92.21	6.43	6.15	3.77	3.22	7563	1400	1.31	1.22	5.94	4
Batman Begins	8.4	8.1	632	308	5846	2488	1751	953	70.17	71.47	11.83	11.42	9.04	8.66	7873	3335	1.35	1.34	7.17	6.91
Being John Malkovich	7.8	7.7	409	452	4632	5029	1364	1424	80.15	82.65	7.52	7.5	4.74	4.83	6342	6629	1.37	1.32	8.1	6.26
Big Fish	8	8.1	462	288	6787	2999	1592	805	82.72	87.95	8.38	7.04	5.66	4.24	8666	3743	1.28	1.25	5.08	4.5
The Big Lebowski	8.3	7.9	975	125	9432	1618	2366	648	77.11	75.64	8.3	9.4	6.25	6.54	12758	2210	1.35	1.37	5.67	8.1
The Birds	7.8	7.8	530	600	5458	5658	1376	1206	80.6	87.97	8.43	7.14	5.82	4.27	7143	7054	1.31	1.25	5.79	4.67
The Bourne Identity	7.9	7.8	474	127	5394	1110	1228	399	89.38	88.05	6.4	7.25	3.48	4.38	6788	1376	1.26	1.24	5.17	4.41
The Bourne Supremacy	7.8	7.7	416	206	3846	1950	1093	696	88.99	81.41	6.09	8.38	3.59	5.44	4849	2558	1.26	1.31	4.21	6.72
Citizen Kane	8.5	8.3	449	561	7011	8637	1664	1646	72.31	78.21	10.97	9.56	8	6.65	9515	11338	1.36	1.31	8	6.59
